,housing,balance,y
152,yes,-4,no
153,yes,18,no
154,no,139,no
155,yes,0,no
156,yes,1883,no
157,yes,216,no
158,yes,782,no
159,yes,904,no
160,yes,1705,no
161,yes,47,no
162,yes,176,no
163,yes,1225,no
164,yes,86,no
165,yes,82,no
166,yes,271,no
167,yes,1378,no
168,no,184,yes
169,no,0,no
170,yes,0,no
171,yes,1357,no
172,yes,19,no
173,no,434,no
174,yes,92,no
175,yes,1151,no
176,yes,41,no
177,yes,51,no
178,yes,214,no
179,yes,1161,no
180,yes,37,no
181,yes,787,no
182,yes,59,no
183,yes,253,no
184,yes,211,no
185,yes,235,no
186,yes,4384,no
187,no,4080,no
188,yes,53,no
189,yes,0,no
190,yes,2127,no
191,yes,377,no
192,yes,73,no
193,yes,445,no
194,yes,243,no
195,yes,307,no
196,yes,155,no
197,no,173,no
198,yes,400,no
199,yes,1428,no
200,yes,219,no
201,yes,7,no
202,yes,575,no
203,yes,298,no
204,yes,0,no
205,yes,5699,no
206,yes,176,no
207,yes,517,no
208,yes,257,no
209,yes,56,no
210,yes,-390,no
211,yes,330,no
212,no,195,no
213,yes,301,no
214,yes,-41,no
215,yes,483,no
216,no,28,no
217,no,13,no
218,no,965,no
219,yes,378,no
220,yes,219,no
221,yes,324,no
222,yes,-69,no
223,no,0,no
224,yes,205,no
225,yes,278,no
226,yes,1065,no
227,yes,34,no
228,no,1033,no
229,yes,1467,no
230,yes,-12,no
231,yes,388,no
232,yes,294,no
233,no,1827,no
234,yes,627,no
235,yes,25,no
236,yes,315,no
237,yes,0,no
238,yes,66,no
239,yes,-9,no
240,yes,349,no
241,yes,100,no
242,no,0,no
243,yes,434,no
244,yes,3237,no
245,no,275,no
246,yes,0,no
247,yes,207,no
248,yes,483,no
249,yes,2248,no
250,yes,428,no
251,yes,0,no
252,yes,0,no
253,yes,140,no
254,yes,297,no
255,yes,279,no
256,yes,901,no
257,yes,2573,no
258,yes,143,no
259,yes,475,no
260,yes,70,no
261,yes,318,no
262,yes,275,no
263,yes,742,no
264,yes,236,no
265,yes,25,no
266,yes,600,no
267,yes,-349,no
268,yes,183,no
269,yes,0,no
270,yes,0,yes
271,yes,0,no
272,yes,1078,no
273,no,155,no
274,yes,190,no
275,yes,319,no
276,yes,-185,no
277,no,47,no
278,yes,570,no
279,no,19,no
280,yes,61,no
281,yes,-62,no
282,no,258,no
283,yes,76,no
284,yes,0,no
285,yes,352,no
286,yes,368,no
287,yes,339,no
288,yes,1331,no
289,yes,672,no
290,yes,58,no
291,yes,447,no
292,yes,423,no
293,no,0,no
294,yes,19,no
295,yes,13,no
296,yes,3,no
297,yes,82,no
298,yes,28,no
299,yes,792,no
300,yes,408,no
301,yes,531,no
302,yes,211,no
303,yes,62,no
304,yes,257,no
305,yes,1234,no
306,yes,313,no
307,yes,89,no
308,yes,129,no
309,yes,0,no
310,yes,353,no
311,yes,851,no
312,yes,96,no
313,yes,398,no
314,no,193,no
315,yes,-358,no
316,yes,539,no
317,yes,0,no
318,no,0,no
319,yes,490,no
320,yes,0,no
321,yes,403,no
322,yes,161,no
323,no,2558,no
324,yes,98,no
325,no,115,no
326,yes,436,no
327,yes,831,no
328,yes,206,no
329,yes,290,no
330,no,1,no
331,yes,57,no
332,yes,-457,no
333,yes,1387,no
334,yes,24598,no
335,yes,30,no
336,yes,1022,no
337,yes,56,no
338,no,-2,no
339,yes,121,no
340,yes,842,no
341,yes,693,no
342,yes,-333,no
343,yes,1533,no
344,yes,46,no
345,no,18,no
346,yes,44,no
347,yes,-100,no
348,yes,510,no
349,yes,685,no
350,yes,187,no
351,yes,66,no
352,yes,560,no
353,yes,0,no
354,no,27,no
355,yes,12,no
356,yes,34,no
357,yes,1068,no
358,yes,211,no
359,yes,377,no
360,yes,263,no
361,yes,1263,no
362,yes,8,no
363,yes,126,no
364,yes,230,no
365,yes,841,no
366,yes,308,no
367,yes,1,no
368,yes,86,no
369,yes,157,no
370,yes,22,no
371,yes,46,no
372,no,1293,no
373,yes,122,no
374,yes,131,no
375,yes,143,no
376,no,393,no
377,yes,98,no
378,yes,0,no
379,yes,224,no
380,yes,757,no
381,yes,245,no
382,no,8486,no
383,no,350,no
384,yes,20,no
385,yes,1667,no
386,yes,345,no
387,yes,10,no
388,yes,830,yes
389,yes,29,no
390,yes,545,yes
391,yes,8730,no
392,yes,477,no
393,yes,4,no
394,yes,1205,no
395,yes,0,no
396,yes,263,no
397,no,1,no
398,no,283,no
399,yes,206,no
400,yes,17,no
401,yes,141,no
402,yes,16,no
403,yes,206,no
404,no,7,no
405,no,0,no
406,no,0,no
407,yes,1927,no
408,yes,284,no
409,yes,1660,no
410,yes,406,no
411,yes,230,no
412,yes,-25,no
413,yes,182,no
414,yes,1169,no
415,yes,67,no
416,no,77,no
417,yes,0,no
418,yes,55,no
419,yes,72,no
420,yes,163,no
421,yes,151,no
422,yes,113,no
423,yes,0,no
424,yes,9,no
425,yes,375,no
426,yes,1142,no
427,yes,2102,no
428,yes,4325,no
429,yes,217,no
430,yes,131,no
431,yes,1680,no
432,yes,0,no
433,yes,46,no
434,yes,320,no
435,yes,183,no
436,no,39,no
437,yes,560,no
438,no,469,no
439,yes,530,no
440,yes,61,no
441,yes,242,no
442,yes,139,no
443,yes,0,no
444,yes,367,no
445,yes,228,no
446,yes,45248,yes
447,yes,-84,no
448,yes,310,no
449,yes,132,no
450,yes,797,no
451,no,71,no
452,yes,2,no
453,yes,231,no
454,yes,270,no
455,yes,274,no
456,yes,-109,no
457,yes,1,yes
458,no,-60,no
459,yes,89,no
460,no,-11,no
461,yes,0,no
462,yes,-509,no
463,yes,408,no
464,yes,58,no
465,no,1640,no
466,yes,20,no
467,yes,71,no
468,yes,52,no
469,yes,292,no
470,yes,424,no
471,yes,109,no
472,yes,1044,no
473,yes,983,no
474,no,869,yes
475,yes,668,no
476,yes,964,no
477,yes,301,no
478,yes,140,no
479,yes,1877,no
480,yes,1127,no
481,yes,871,no
482,yes,767,no
483,no,0,no
484,yes,209,no
485,no,0,no
486,yes,110,no
487,yes,-76,no
488,yes,178,no
489,yes,-66,no
490,yes,0,no
491,yes,1,no
492,yes,0,no
493,no,5345,no
494,yes,-209,no
495,yes,0,no
496,yes,42,no
497,yes,41,no
498,yes,-99,no
499,yes,17,no
500,yes,276,no
501,no,-170,no
502,yes,230,no
503,yes,9,no
504,yes,946,no
505,yes,1297,no
506,yes,-331,no
507,yes,44,no
508,no,15,no
509,yes,712,no
510,yes,5435,no
511,yes,507,no
512,yes,387,yes
513,yes,0,no
514,yes,1716,no
515,yes,167,no
516,no,40,no
517,yes,148,no
518,yes,17,no
519,yes,1011,no
520,yes,1527,no
521,no,744,no
522,yes,484,no
523,yes,0,no
524,yes,136,no
525,yes,1335,no
526,yes,517,no
527,yes,459,no
528,yes,549,no
529,yes,83,no
530,no,213,no
531,yes,203,no
532,yes,518,no
533,yes,3877,no
534,yes,1236,no
535,yes,756,no
536,yes,157,no
537,yes,-66,no
538,yes,245,no
539,yes,-144,no
540,yes,71,no
541,yes,505,no
542,yes,249,no
543,yes,0,no
544,yes,11,no
545,yes,639,no
546,yes,124,no
547,yes,82,no
548,yes,107,no
549,yes,473,no
550,yes,372,no
551,yes,46,no
552,yes,34,no
553,yes,935,no
554,yes,-10,no
555,yes,-106,no
556,yes,471,no
557,yes,778,no
558,yes,170,no
559,yes,315,no
560,no,3165,no
561,yes,131,no
562,yes,204,no
563,yes,83,no
564,yes,0,no
565,yes,5431,no
566,yes,1759,no
567,yes,-125,no
568,no,0,no
569,yes,5090,yes
570,yes,573,no
571,yes,1602,no
572,yes,-137,no
573,no,0,no
574,no,193,no
575,yes,195,no
576,no,288,no
577,yes,19,no
578,yes,25,no
579,yes,216,no
580,yes,190,no
581,yes,99,no
582,yes,2298,no
583,yes,17,no
584,yes,0,no
585,yes,0,no
586,yes,840,no
587,yes,358,no
588,yes,0,no
589,yes,-325,no
590,yes,-15,no
591,yes,581,no
592,yes,4070,no
593,no,74,no
594,yes,141,no
595,no,89,no
596,yes,0,no
597,no,450,no
598,no,310,no
599,yes,0,no
600,yes,384,no
601,yes,395,no
602,yes,-118,no
603,yes,5,no
604,yes,50,no
605,yes,285,no
606,no,15,no
607,yes,653,no
608,yes,918,no
609,yes,243,no
610,yes,405,no
611,yes,1328,no
612,yes,255,no
613,yes,3397,no
614,yes,2106,no
615,yes,2877,no
616,yes,60,no
617,yes,2226,no
618,yes,2880,no
619,yes,-5,no
620,no,147,no
621,yes,7,no
622,yes,109,no
623,yes,-119,no
624,yes,484,yes
625,yes,1852,no
626,yes,533,no
627,yes,21,no
628,yes,2434,no
629,yes,90,no
630,yes,4246,no
631,yes,395,no
632,yes,15,no
633,no,85,no
634,yes,-184,no
635,no,660,no
636,yes,-183,no
637,yes,1144,no
638,yes,1,no
639,yes,69,no
640,yes,220,no
641,yes,332,no
642,yes,240,no
643,yes,0,no
644,yes,0,no
645,yes,898,no
646,yes,123,no
647,yes,252,no
648,yes,65,no
649,yes,-366,no
650,yes,209,no
651,yes,221,no
652,yes,4,no
653,yes,104,no
654,yes,312,no
655,yes,-349,no
656,no,4,no
657,yes,-322,no
658,yes,-150,no
659,yes,1349,no
660,yes,281,no
661,yes,1259,no
662,yes,101,no
663,yes,848,no
664,yes,89,no
665,yes,140,no
666,yes,148,no
667,yes,200,no
668,yes,46,no
669,yes,201,no
670,yes,530,no
671,yes,0,no
672,yes,1,no
673,yes,43,no
674,yes,-173,no
675,yes,389,no
676,yes,215,no
677,yes,-131,no
678,yes,783,no
679,yes,0,no
680,yes,80,no
681,yes,105,no
682,yes,182,no
683,yes,82,no
684,yes,0,no
685,yes,510,no
686,yes,242,no
687,yes,244,no
688,yes,92,no
689,yes,0,no
690,yes,948,no
691,yes,23,no
692,yes,710,no
693,yes,1205,no
694,yes,368,yes
695,yes,1631,no
696,yes,6,no
697,yes,26,no
698,yes,-48,no
699,yes,2142,no
700,yes,77,no
701,yes,401,no
702,no,21,no
703,yes,0,no
704,yes,-497,no
705,no,369,no
706,yes,78,no
707,yes,226,no
708,yes,503,no
709,yes,372,no
710,yes,0,no
711,yes,0,no
712,yes,125,no
713,yes,4,no
714,yes,419,no
715,yes,322,no
716,yes,303,no
717,yes,607,no
718,yes,579,no
719,yes,3047,no
720,yes,83,no
721,yes,68,no
722,yes,58,no
723,yes,251,no
724,yes,688,no
725,yes,364,no
726,yes,55,no
727,yes,101,no
728,yes,105,no
729,yes,325,no
730,yes,198,no
731,yes,209,no
732,yes,183,no
733,yes,105,no
734,yes,109,no
735,yes,376,no
736,yes,-7,no
737,no,0,no
738,yes,143,no
739,yes,550,no
740,yes,162,no
741,yes,115,no
742,yes,512,no
743,yes,807,no
744,yes,248,no
745,yes,1211,no
746,no,7,no
747,yes,281,no
748,yes,88,no
749,yes,32,no
750,yes,115,no
751,yes,254,no
752,yes,144,no
753,no,383,no
754,yes,569,no
755,yes,0,no
756,yes,3754,no
757,yes,6920,no
758,yes,307,no
759,yes,-421,no
760,no,60,no
761,yes,67,no
762,yes,402,no
763,no,800,no
764,yes,239,no
765,yes,421,no
766,yes,161,no
767,no,289,no
768,yes,110,no
769,yes,245,no
770,yes,0,no
771,yes,156,no
772,yes,0,no
773,yes,20,no
774,yes,92,no
775,yes,89,no
776,yes,166,no
777,yes,103,no
778,yes,-454,no
779,yes,445,no
780,no,4,no
781,yes,1001,no
782,yes,-69,no
783,yes,42,no
784,yes,1617,no
785,yes,221,no
786,yes,210,no
787,no,0,no
788,yes,185,no
789,yes,836,no
790,yes,301,no
791,yes,503,no
792,yes,407,no
793,yes,53,no
794,yes,2303,no
795,yes,144,no
796,yes,205,no
797,yes,305,no
798,yes,251,no
799,yes,0,no
800,no,8,no
801,yes,139,no
802,yes,184,no
803,yes,238,no
804,no,0,no
805,yes,0,no
806,yes,222,no
807,yes,414,no
808,yes,223,no
809,no,197,no
810,yes,-251,no
811,yes,-139,no
812,yes,733,no
813,yes,0,no
814,no,1,no
815,yes,97,no
816,yes,435,no
817,yes,0,no
818,no,147,no
819,yes,3,no
820,yes,1109,no
821,yes,404,no
822,yes,981,no
823,yes,95,no
824,yes,302,no
825,yes,-290,no
826,yes,259,no
827,yes,527,no
828,yes,102,no
829,yes,872,no
830,yes,490,no
831,yes,19,no
832,yes,16,no
833,yes,386,no
834,yes,539,no
835,yes,-329,no
836,yes,-174,no
837,yes,68,no
838,yes,-532,no
839,yes,0,no
840,yes,64,no
841,yes,1415,no
842,yes,147,no
843,yes,72,no
844,yes,-196,no
845,yes,716,no
846,yes,0,no
847,yes,-246,no
848,yes,-203,no
849,yes,245,yes
850,yes,342,no
851,yes,3,no
852,yes,-248,no
853,yes,376,no
854,yes,370,no
855,yes,594,no
856,yes,387,no
857,yes,208,no
858,yes,563,no
859,yes,392,no
860,no,165,no
861,yes,236,no
862,yes,52,no
863,yes,1265,no
864,yes,693,no
865,yes,118,no
866,yes,3659,no
867,yes,24,no
868,yes,673,no
869,no,273,no
870,yes,327,no
871,yes,299,no
872,yes,0,no
873,yes,109,no
874,no,552,no
875,yes,473,no
876,yes,414,no
877,yes,154,yes
878,yes,344,no
879,yes,8,no
880,yes,78,no
881,yes,266,no
882,yes,98,no
883,yes,83,no
884,yes,45,no
885,yes,8,no
886,yes,263,no
887,yes,306,no
888,yes,233,no
889,no,447,no
890,yes,872,no
891,yes,-291,yes
892,yes,309,no
893,yes,202,no
894,yes,56,no
895,yes,229,no
896,yes,143,no
897,yes,100,yes
898,yes,326,no
899,yes,167,no
900,yes,545,no
901,yes,2100,no
902,yes,0,no
903,yes,192,no
904,yes,442,no
905,yes,267,no
906,yes,0,no
907,yes,377,no
908,no,7624,no
909,yes,66,no
910,yes,37,no
911,yes,64,no
912,yes,34,no
913,yes,627,no
914,yes,1013,no
915,yes,140,no
916,yes,8823,no
917,yes,97,no
918,yes,5,no
919,yes,74,no
920,yes,58544,no
921,yes,169,no
922,yes,444,no
923,yes,542,no
924,yes,-205,no
925,yes,112,no
926,no,39,no
927,yes,1268,no
928,yes,-98,no
929,yes,44,no
930,yes,-90,no
931,no,0,no
932,yes,-94,no
933,yes,-345,no
934,yes,-932,no
935,yes,20,no
936,yes,90,no
937,yes,31,no
938,yes,134,no
939,yes,0,no
940,yes,61,no
941,yes,-5,no
942,no,-45,no
943,yes,156,no
944,yes,564,no
945,yes,-6,no
946,no,528,no
947,yes,1481,no
948,no,2019,no
949,yes,1855,no
950,yes,147,no
951,yes,220,no
952,yes,198,no
953,no,115,no
954,yes,87,no
955,yes,644,no
956,yes,225,no
957,yes,502,no
958,yes,-32,no
959,yes,106,no
960,yes,301,no
961,yes,906,no
962,yes,187,no
963,yes,852,no
964,yes,143,no
965,no,71,no
966,yes,1496,no
967,yes,703,no
968,yes,732,no
969,yes,21,no
970,yes,276,no
971,yes,0,no
972,yes,550,no
973,yes,268,no
974,yes,-825,no
975,yes,137,no
976,yes,42,no
977,no,54,no
978,yes,1716,no
979,yes,270,no
980,yes,803,no
981,yes,102,no
982,yes,188,no
983,yes,207,no
984,yes,1466,no
985,yes,350,no
986,yes,159,no
987,yes,157,no
988,no,0,no
989,yes,91,no
990,yes,849,no
991,yes,436,no
992,yes,-1,no
993,yes,297,no
994,yes,313,no
995,yes,310,no
996,yes,475,no
997,yes,61,no
998,yes,1377,no
999,no,56,no
1000,yes,0,no
1001,no,73,no
1002,yes,660,no
1003,yes,-79,no
1004,yes,558,no
1005,yes,342,no
1006,yes,-4,no
1007,yes,225,no
1008,yes,267,no
1009,yes,46,no
1010,yes,624,no
1011,yes,1107,no
1012,yes,573,no
1013,yes,406,no
1014,yes,220,no
1015,yes,2308,no
1016,yes,139,no
1017,yes,367,no
1018,yes,278,no
1019,yes,229,no
1020,yes,1722,no
1021,yes,-500,no
1022,yes,308,no
1023,yes,1026,no
1024,yes,548,no
1025,yes,356,no
1026,yes,164,no
1027,no,211,no
1028,yes,19,no
1029,yes,108,no
1030,yes,308,no
1031,yes,7,no
1032,yes,16,no
1033,yes,867,no
1034,yes,277,no
1035,yes,196,no
1036,yes,365,no
1037,no,1310,no
1038,no,186,no
1039,yes,148,no
1040,yes,862,no
1041,yes,359,no
1042,no,190,no
1043,yes,4,no
1044,yes,0,no
1045,yes,42,no
1046,yes,2605,no
1047,yes,60,no
1048,yes,98,no
1049,yes,-181,no
1050,yes,118,no
1051,yes,-15,no
1052,yes,671,no
1053,yes,1557,no
1054,yes,-20,no
1055,yes,323,no
1056,yes,-171,no
1057,yes,438,no
1058,yes,316,no
1059,yes,174,no
1060,yes,442,no
1061,yes,786,no
1062,yes,-317,no
1063,yes,667,no
1064,yes,-158,no
1065,yes,72,no
1066,yes,58,no
1067,yes,396,no
1068,yes,10,no
1069,yes,2887,no
1070,no,0,no
1071,no,89,no
1072,yes,50,no
1073,yes,29,no
1074,yes,420,no
1075,yes,114,no
1076,yes,365,no
1077,yes,0,no
1078,yes,-24,no
1079,yes,743,no
1080,no,0,no
1081,yes,99,no
1082,yes,22,no
1083,yes,251,no
1084,yes,615,no
1085,yes,136,no
1086,yes,2167,no
1087,yes,309,yes
1088,yes,221,no
1089,yes,321,no
1090,yes,-33,no
1091,yes,76,no
1092,yes,42,no
1093,yes,76,no
1094,yes,1293,no
1095,yes,526,no
1096,yes,873,no
1097,yes,40,no
1098,yes,117,no
1099,yes,671,no
1100,yes,145,no
1101,no,1807,no
1102,yes,-212,no
1103,yes,133,no
1104,no,566,no
1105,yes,1924,no
1106,yes,145,no
1107,yes,487,no
1108,yes,-57,no
1109,yes,81,no
1110,yes,-227,no
1111,yes,2710,no
1112,yes,98,no
1113,yes,1230,no
1114,yes,78,no
1115,yes,137,no
1116,yes,354,no
1117,yes,149,no
1118,yes,126,no
1119,yes,0,no
1120,yes,8266,no
1121,yes,51,no
1122,yes,258,no
1123,yes,117,no
1124,yes,199,yes
1125,yes,219,no
1126,yes,1571,no
1127,yes,223,no
1128,no,-79,no
1129,yes,321,no
1130,yes,2527,no
1131,yes,5,no
1132,yes,20,no
1133,yes,1045,no
1134,yes,1,no
1135,yes,3,no
1136,yes,-55,no
1137,yes,141,no
1138,yes,374,no
1139,yes,93,no
1140,yes,460,yes
1141,yes,78,no
1142,yes,135,no
1143,yes,367,no
1144,yes,248,no
1145,yes,630,no
1146,yes,-30,no
1147,yes,157,no
1148,yes,268,no
1149,yes,164,no
1150,yes,-97,no
1151,yes,53,no
1152,yes,788,no
1153,yes,1904,no
1154,yes,260,no
1155,yes,447,no
1156,yes,720,no
1157,yes,2827,no
1158,no,0,no
1159,yes,1117,no
1160,yes,597,no
1161,yes,362,no
1162,yes,120,no
1163,yes,89,no
1164,yes,442,no
1165,yes,111,no
1166,yes,247,no
1167,yes,1,no
1168,yes,6,no
1169,yes,-947,no
1170,yes,191,no
1171,yes,-147,no
1172,yes,703,yes
1173,no,70,yes
1174,yes,83,no
1175,yes,125,no
1176,yes,190,no
1177,yes,46,no
1178,yes,1348,no
1179,yes,420,no
1180,yes,96,no
1181,yes,271,no
1182,yes,1320,no
1183,yes,54,no
1184,yes,198,no
1185,yes,1094,no
1186,yes,141,no
1187,yes,207,no
1188,yes,-206,no
1189,yes,177,no
1190,yes,176,no
1191,yes,-413,no
1192,yes,-81,no
1193,yes,3837,yes
1194,yes,870,no
1195,yes,206,no
1196,yes,316,no
1197,yes,57,no
1198,yes,1,no
1199,no,-7,no
1200,yes,611,yes
1201,yes,157,no
1202,yes,233,no
1203,yes,419,no
1204,yes,134,no
1205,no,2087,no
1206,yes,103,no
1207,yes,281,no
1208,yes,133,no
1209,yes,1865,no
1210,yes,325,no
1211,yes,-18,no
1212,yes,49,no
1213,yes,7444,no
1214,yes,59,no
1215,yes,45,no
1216,yes,387,no
1217,yes,5,no
1218,yes,71,no
1219,yes,96,no
1220,yes,72,no
1221,yes,1715,no
1222,yes,181,no
1223,yes,20,no
1224,yes,65,no
1225,yes,81,no
1226,yes,226,no
1227,yes,1128,no
1228,yes,582,no
1229,yes,5611,no
1230,yes,177,no
1231,yes,181,no
1232,yes,0,no
1233,yes,734,no
1234,yes,322,no
1235,yes,134,no
1236,yes,10350,no
1237,yes,84,no
1238,yes,620,no
1239,yes,254,no
1240,yes,0,no
1241,yes,5903,no
1242,yes,134,no
1243,yes,1381,no
1244,yes,104,no
1245,yes,318,no
1246,yes,2151,no
1247,yes,-8,yes
1248,yes,185,no
1249,no,1773,no
1250,yes,40,no
1251,yes,44,no
1252,yes,0,no
1253,yes,0,no
1254,yes,3058,no
1255,yes,130,no
1256,yes,507,no
1257,yes,844,no
1258,yes,458,no
1259,yes,-744,no
1260,yes,-2,no
1261,yes,129,no
1262,yes,411,no
1263,yes,643,no
1264,yes,391,no
1265,yes,80,no
1266,yes,10,no
1267,yes,114,no
1268,yes,1,no
1269,yes,1341,no
1270,yes,4,no
1271,yes,2770,no
1272,yes,5956,no
1273,yes,55,yes
1274,yes,131,no
1275,yes,1942,no
1276,yes,298,no
1277,no,291,no
1278,yes,85,no
1279,yes,797,no
1280,yes,152,no
1281,yes,481,no
1282,yes,66,no
1283,yes,4586,no
1284,yes,1798,no
1285,yes,220,no
1286,yes,715,no
1287,yes,442,no
1288,yes,85,no
1289,yes,319,no
1290,yes,-29,no
1291,no,303,no
1292,yes,2398,no
1293,no,31,no
1294,yes,1832,no
1295,yes,2019,no
1296,yes,3,no
1297,no,397,no
1298,yes,1161,no
1299,yes,777,no
1300,yes,47,no
1301,yes,-58,no
1302,yes,1513,no
1303,no,121,no
1304,yes,904,no
1305,yes,697,no
1306,yes,841,no
1307,yes,7317,no
1308,yes,-95,no
1309,yes,751,no
1310,yes,250,no
1311,yes,365,no
1312,yes,1315,no
1313,yes,65,no
1314,no,1852,no
1315,yes,-84,no
1316,yes,36,no
1317,yes,125,no
1318,no,0,no
1319,yes,105,no
1320,yes,432,no
1321,yes,555,no
1322,yes,-24,no
1323,yes,2261,no
1324,yes,804,no
1325,yes,-617,no
1326,yes,-1,no
1327,yes,237,no
1328,yes,514,no
1329,yes,1988,no
1330,yes,491,no
1331,yes,675,no
1332,yes,177,no
1333,yes,340,no
1334,yes,230,no
1335,no,0,no
1336,yes,2331,no
1337,yes,0,no
1338,yes,217,no
1339,yes,186,no
1340,yes,168,yes
1341,yes,145,no
1342,yes,140,no
1343,yes,-22,no
1344,yes,389,no
1345,yes,323,no
1346,yes,6,no
1347,yes,225,no
1348,yes,142,no
1349,no,5,no
1350,yes,174,no
1351,yes,-768,no
1352,no,30,no
1353,yes,968,no
1354,yes,47,no
1355,yes,0,no
1356,yes,91,no
1357,yes,-77,no
1358,yes,486,no
1359,yes,341,no
1360,yes,50,no
1361,yes,205,no
1362,yes,762,no
1363,yes,31,no
1364,yes,-581,no
1365,yes,-45,no
1366,no,0,no
1367,yes,120,no
1368,yes,335,no
1369,yes,-232,no
1370,yes,785,yes
1371,yes,28,no
1372,yes,2067,yes
1373,yes,448,no
1374,yes,37,no
1375,yes,301,no
1376,no,668,no
1377,yes,115,no
1378,no,275,no
1379,no,414,no
1380,yes,3,no
1381,no,496,no
1382,yes,150,no
1383,no,163,no
1384,yes,1322,no
1385,yes,1713,no
1386,yes,242,no
1387,no,-29,no
1388,yes,381,no
1389,yes,82,no
1390,yes,21,no
1391,yes,1801,no
1392,yes,640,no
1393,yes,113,no
1394,yes,1042,no
1395,yes,240,no
1396,yes,-244,no
1397,yes,70,no
1398,yes,-339,no
1399,yes,59,no
1400,yes,1222,no
1401,yes,-41,no
1402,yes,0,no
1403,yes,6,no
1404,yes,4,no
1405,yes,20,no
1406,yes,846,no
1407,yes,338,no
1408,yes,90,no
1409,yes,406,no
1410,no,2,no
1411,no,2211,no
1412,yes,87,no
1413,yes,178,no
1414,yes,185,no
1415,yes,-210,no
1416,yes,388,yes
1417,yes,1,no
1418,yes,879,no
1419,yes,214,no
1420,yes,698,no
1421,yes,1601,no
1422,yes,717,no
1423,yes,255,no
1424,yes,375,no
1425,yes,587,no
1426,yes,644,no
1427,yes,0,no
1428,yes,-275,no
1429,yes,116,no
1430,yes,37,no
1431,yes,753,no
1432,yes,162,no
1433,yes,984,no
1434,yes,199,no
1435,yes,241,no
1436,yes,648,no
1437,yes,907,no
1438,no,6322,no
1439,yes,125,no
1440,yes,90,no
1441,yes,54,no
1442,no,-132,no
1443,no,267,no
1444,yes,289,no
1445,yes,613,no
1446,yes,618,no
1447,yes,1786,no
1448,yes,607,no
1449,yes,586,no
1450,yes,459,no
1451,yes,298,no
1452,no,134,no
1453,yes,34,no
1454,yes,1378,no
1455,yes,417,no
1456,yes,25,no
1457,yes,22,no
1458,yes,398,no
1459,yes,1164,no
1460,yes,487,no
1461,yes,1069,no
1462,yes,-192,yes
1463,yes,0,no
1464,yes,332,no
1465,yes,121,no
1466,yes,68,no
1467,yes,-176,no
1468,yes,527,no
1469,yes,193,no
1470,yes,7601,no
1471,no,751,no
1472,yes,495,no
1473,yes,670,no
1474,yes,363,no
1475,yes,376,no
1476,yes,292,no
1477,no,0,no
