,age,marital
248,39,married
249,51,married
250,49,married
251,53,married
252,34,single
253,33,divorced
254,50,single
255,39,married
256,59,divorced
257,30,single
258,36,married
259,40,married
260,53,married
261,34,single
262,37,married
263,42,divorced
264,41,married
265,30,single
266,37,single
267,39,divorced
268,41,married
269,40,married
270,42,single
271,40,divorced
272,57,married
273,56,divorced
274,37,married
275,59,married
276,39,divorced
277,49,married
278,38,single
279,36,married
280,50,married
281,41,married
282,54,married
283,58,married
284,30,single
285,33,single
286,47,married
287,50,single
288,32,married
289,40,married
290,37,married
291,54,single
292,24,single
293,54,married
294,34,married
295,56,divorced
296,31,single
297,24,single
298,42,divorced
299,57,married
300,42,married
301,51,married
302,57,married
303,36,single
304,53,married
305,50,married
306,54,married
307,55,married
308,44,married
309,43,married
310,56,married
311,54,married
312,55,divorced
313,37,divorced
314,33,single
315,46,married
316,36,married
317,51,single
318,40,single
319,42,married
320,51,married
321,49,married
322,48,married
323,32,divorced
324,31,single
325,55,single
326,40,single
327,47,married
328,57,married
329,41,married
330,48,married
331,42,married
332,30,single
333,58,single
334,45,divorced
335,49,married
336,42,single
337,53,married
338,51,single
339,32,single
340,41,single
341,43,divorced
342,40,divorced
343,50,married
344,34,married
345,53,married
346,45,married
347,39,married
348,44,married
349,55,married
350,46,single
351,45,married
352,34,married
353,36,married
354,59,divorced
355,31,single
356,44,single
357,33,single
358,40,married
359,46,single
360,48,married
361,42,married
362,27,married
363,48,married
364,59,married
365,46,married
366,38,divorced
367,43,divorced
368,38,divorced
369,23,single
370,34,married
371,38,married
372,37,married
373,25,single
374,48,married
375,49,single
376,38,single
377,43,married
378,33,married
379,55,married
380,38,married
381,49,married
382,40,married
383,43,married
384,38,married
385,58,married
386,57,married
387,32,married
388,56,married
389,58,divorced
390,60,divorced
391,37,married
392,46,divorced
393,27,married
394,43,married
395,32,single
396,40,single
397,38,married
398,34,married
399,47,married
400,42,married
401,48,married
402,29,single
403,50,married
404,52,married
405,50,married
406,58,married
407,46,divorced
408,38,married
409,46,married
410,32,single
411,51,married
412,39,single
413,48,married
414,36,married
415,34,divorced
416,40,married
417,43,married
418,52,divorced
419,33,married
420,49,single
421,32,single
422,39,single
423,40,married
424,38,single
425,43,married
426,39,married
427,54,married
428,38,single
429,40,married
430,55,married
431,42,married
432,39,married
433,40,married
434,32,married
435,55,married
436,45,married
437,35,single
438,58,divorced
439,35,married
440,49,married
441,34,single
442,36,married
443,24,single
444,34,married
445,51,divorced
446,39,single
447,50,married
448,32,single
449,42,married
450,50,married
451,40,married
452,46,divorced
453,37,married
454,34,married
455,44,married
456,40,single
457,37,married
458,33,single
459,35,married
460,58,divorced
461,39,married
462,43,married
463,39,married
464,36,single
465,57,single
466,36,single
467,50,married
468,55,married
469,44,married
470,44,divorced
471,39,single
472,46,married
473,39,married
474,34,married
475,40,married
476,50,married
477,31,single
478,37,single
479,39,single
480,51,married
481,41,married
482,41,married
483,43,married
484,30,single
485,54,divorced
486,43,divorced
487,59,divorced
488,47,married
489,40,married
490,32,married
491,29,married
492,36,married
493,55,married
494,30,divorced
495,39,single
496,39,divorced
497,50,divorced
498,44,married
499,37,single
500,46,married
501,32,single
502,37,single
503,29,married
504,41,married
505,45,married
506,57,divorced
507,48,single
508,60,married
509,26,single
510,58,married
511,34,married
512,55,divorced
513,41,married
514,50,divorced
515,49,married
516,44,married
517,44,married
518,31,married
519,34,single
520,46,single
521,42,married
522,52,married
523,29,single
524,53,married
525,43,married
526,38,married
527,46,married
528,48,divorced
529,30,divorced
530,44,married
531,31,married
532,42,single
533,40,single
534,52,married
535,45,divorced
536,48,married
537,45,married
538,34,married
539,34,married
540,46,married
541,49,divorced
542,50,married
543,34,single
544,40,single
545,36,married
546,59,divorced
547,45,married
548,36,married
549,56,married
550,42,divorced
551,30,married
552,30,single
553,47,married
554,33,married
555,36,married
556,39,divorced
557,56,divorced
558,39,divorced
559,42,married
560,52,married
561,36,divorced
562,35,married
563,47,married
564,59,divorced
565,57,married
566,38,married
567,46,married
568,34,married
569,28,single
570,38,married
571,56,married
572,41,single
573,52,married
574,54,married
575,61,married
576,53,married
577,47,married
578,53,married
579,46,married
580,39,divorced
581,56,divorced
582,55,divorced
583,44,married
584,37,married
585,35,married
586,55,married
587,37,married
588,30,single
589,37,married
590,36,single
591,38,married
592,41,divorced
593,48,married
594,55,divorced
595,28,divorced
596,54,married
597,30,married
598,48,married
599,31,married
600,38,married
601,37,married
602,37,single
603,56,married
604,51,married
605,39,married
606,49,married
607,51,married
608,43,married
609,32,married
610,29,single
611,48,divorced
612,55,married
613,53,married
614,47,married
615,39,married
616,31,single
617,39,married
618,40,married
619,40,single
620,48,married
621,33,divorced
622,40,married
623,59,married
624,30,married
625,31,single
626,35,married
627,54,divorced
628,34,single
629,32,married
630,56,divorced
631,32,single
632,42,married
633,33,married
634,52,married
635,52,married
636,52,divorced
637,30,divorced
638,44,divorced
639,35,married
640,55,single
641,33,married
642,37,single
643,42,single
644,43,married
645,38,married
646,37,married
647,31,single
648,41,married
649,41,married
650,29,single
651,38,single
652,44,divorced
653,39,married
654,28,single
655,33,married
656,41,married
657,40,married
658,29,married
659,38,married
660,32,married
661,45,married
662,33,single
663,34,married
664,41,married
665,41,married
666,35,single
667,40,single
668,60,married
669,47,divorced
670,46,married
671,31,single
672,49,married
673,29,married
674,31,single
675,38,married
676,37,married
677,35,married
678,31,single
679,41,married
680,46,married
681,40,divorced
682,29,married
683,49,married
684,42,married
685,54,married
686,40,single
687,53,married
688,49,married
689,40,married
690,29,single
691,36,married
692,37,married
693,39,married
694,36,married
695,44,married
696,40,married
697,49,married
698,30,single
699,57,married
700,24,single
701,46,married
702,33,married
703,43,divorced
704,43,single
705,40,divorced
706,44,single
707,35,single
708,47,married
709,33,married
710,31,married
711,40,divorced
712,36,married
713,56,divorced
714,40,single
715,41,divorced
716,53,married
717,39,married
718,44,divorced
719,38,married
720,54,divorced
721,58,married
722,52,married
723,28,single
724,36,married
725,60,married
726,42,divorced
727,42,married
728,44,married
729,51,divorced
730,49,married
731,47,married
732,37,married
733,34,married
734,35,married
735,35,single
736,40,married
737,55,married
738,55,married
739,35,single
740,57,married
741,53,married
742,41,married
743,57,married
744,45,married
745,43,married
746,56,married
747,31,married
748,37,single
749,30,married
750,30,single
751,54,married
752,36,married
753,55,married
754,37,single
755,38,married
756,48,married
757,55,divorced
758,59,married
759,37,married
760,33,divorced
761,44,married
762,57,married
763,30,single
764,42,married
765,51,divorced
766,44,divorced
767,46,married
768,29,single
769,39,married
770,42,married
771,50,married
772,42,single
773,39,married
774,55,single
775,46,married
776,42,married
777,45,married
778,43,married
779,42,married
780,30,married
781,47,married
782,51,divorced
783,38,single
784,57,married
785,42,divorced
786,32,divorced
787,46,married
788,29,single
789,59,married
790,32,single
791,44,married
792,40,married
793,31,single
794,46,married
795,43,married
796,34,married
797,39,married
798,30,divorced
799,56,married
800,29,married
801,40,divorced
802,36,married
803,37,single
804,35,married
805,35,married
806,47,married
807,31,married
808,56,single
809,57,married
810,36,married
811,45,divorced
812,47,married
813,29,single
814,57,married
815,45,married
816,31,single
817,31,divorced
818,37,single
819,30,single
820,58,divorced
821,33,married
822,39,married
823,33,single
824,34,married
825,36,divorced
826,37,single
827,35,married
828,55,married
829,34,single
830,40,divorced
831,42,single
832,37,married
833,42,married
834,35,single
835,44,divorced
836,30,single
837,45,married
838,35,single
839,36,divorced
840,49,married
841,31,single
842,31,single
843,39,married
844,37,single
845,33,married
846,37,married
847,42,married
848,56,married
849,37,single
850,36,single
851,29,single
852,54,married
853,38,married
854,43,divorced
855,47,single
856,47,married
857,38,married
858,40,married
859,33,divorced
860,33,married
861,53,divorced
862,37,married
863,40,single
864,37,married
865,35,married
866,49,married
867,26,single
868,38,single
869,52,married
870,33,divorced
871,31,single
872,32,married
873,35,single
874,55,divorced
875,32,divorced
876,37,single
877,45,married
878,31,married
879,38,married
880,37,married
881,38,married
882,33,married
883,38,married
884,37,single
885,29,married
886,42,married
887,40,married
888,32,married
889,47,divorced
890,29,single
891,53,divorced
892,31,married
893,59,married
894,29,married
895,59,married
896,44,married
897,38,single
898,49,married
899,43,married
900,52,single
901,40,married
902,32,married
903,47,married
904,33,married
905,35,married
906,27,single
907,50,married
908,44,married
909,43,married
910,51,married
911,32,single
912,47,divorced
913,34,divorced
914,57,married
915,43,single
916,40,single
917,28,single
918,38,married
919,37,divorced
920,44,married
921,41,married
922,37,married
923,30,single
924,32,married
925,30,single
926,35,married
927,55,married
928,52,married
929,33,married
930,55,married
931,33,married
932,40,married
933,39,married
934,54,married
935,39,married
936,49,married
937,52,married
938,27,single
939,26,married
940,40,married
941,47,married
942,31,single
943,53,single
944,31,married
945,33,married
946,35,married
947,46,married
948,31,married
949,35,single
950,29,married
951,51,married
952,33,married
953,37,married
954,43,single
955,42,married
956,28,married
957,57,married
958,38,married
959,39,married
960,36,married
961,57,married
962,44,married
963,48,divorced
964,46,married
965,43,married
966,49,married
967,29,single
968,53,married
969,30,single
970,41,divorced
971,33,married
972,47,married
973,58,married
974,31,married
975,38,single
976,60,married
977,33,single
978,33,single
979,52,married
980,42,married
981,30,single
982,33,divorced
983,46,divorced
984,51,married
985,40,single
986,50,married
987,42,married
988,38,married
989,36,single
990,37,divorced
991,33,married
992,38,single
993,52,married
994,29,married
995,37,married
996,34,married
997,43,married
998,49,married
999,33,single
1000,47,married
1001,50,married
1002,30,single
1003,44,married
1004,44,divorced
1005,30,single
1006,40,married
1007,41,married
1008,34,married
1009,53,married
1010,35,married
1011,34,divorced
1012,39,single
1013,39,single
1014,52,divorced
1015,34,married
1016,37,divorced
1017,39,married
1018,52,divorced
1019,35,married
1020,36,married
1021,48,married
1022,31,divorced
1023,43,divorced
1024,43,single
1025,39,married
1026,40,married
1027,58,married
1028,31,married
1029,41,married
1030,37,married
1031,44,divorced
1032,37,married
1033,39,married
1034,41,single
1035,52,divorced
1036,29,single
1037,60,divorced
1038,32,married
1039,50,single
1040,56,married
1041,48,married
1042,29,married
1043,40,married
1044,42,divorced
1045,34,married
1046,23,single
1047,30,single
1048,51,married
1049,52,single
1050,45,married
1051,41,married
1052,27,single
1053,50,married
1054,36,married
1055,46,married
1056,44,married
1057,47,married
1058,40,married
1059,36,single
1060,46,married
1061,58,married
1062,30,divorced
1063,43,married
1064,29,single
1065,41,married
1066,44,married
1067,44,divorced
1068,59,married
1069,39,single
1070,42,married
1071,31,married
1072,29,single
1073,39,single
1074,44,married
1075,49,single
1076,39,married
1077,27,single
1078,56,married
1079,43,married
1080,37,married
1081,54,single
1082,38,married
1083,31,married
1084,34,married
1085,35,married
1086,44,single
1087,30,married
1088,51,married
1089,37,married
1090,39,married
1091,33,single
1092,37,divorced
1093,46,single
1094,32,married
1095,43,married
1096,59,divorced
1097,46,married
1098,47,married
1099,31,single
1100,30,married
1101,38,married
1102,44,single
1103,52,married
1104,29,single
1105,43,married
1106,47,married
1107,43,married
1108,52,divorced
1109,32,single
1110,40,single
1111,57,divorced
1112,30,divorced
1113,48,married
1114,46,married
1115,59,divorced
1116,50,married
1117,50,divorced
1118,33,divorced
1119,39,single
1120,57,divorced
1121,49,married
1122,41,married
1123,43,married
1124,29,married
1125,56,married
1126,46,married
1127,42,married
1128,36,married
1129,29,married
1130,43,single
1131,48,married
1132,38,single
1133,46,married
1134,44,married
1135,28,married
1136,28,married
1137,36,divorced
1138,37,married
1139,56,married
1140,46,single
1141,34,divorced
1142,32,married
1143,33,married
1144,36,single
1145,35,married
1146,44,single
1147,37,married
1148,48,divorced
1149,38,married
1150,44,married
1151,31,divorced
1152,35,divorced
1153,54,divorced
1154,28,single
1155,38,married
1156,48,married
1157,31,married
1158,59,married
1159,29,single
1160,28,married
1161,50,married
1162,31,single
1163,32,single
1164,30,married
1165,32,single
1166,29,single
1167,30,divorced
1168,34,married
1169,34,single
1170,41,married
1171,36,married
1172,31,single
1173,39,married
1174,36,married
1175,39,married
1176,37,married
1177,52,married
1178,25,single
1179,42,married
1180,27,divorced
1181,42,married
1182,29,divorced
1183,38,married
1184,42,married
1185,35,married
1186,41,married
1187,57,married
1188,36,married
1189,56,divorced
1190,33,divorced
1191,41,divorced
1192,33,married
1193,35,divorced
1194,43,married
1195,36,single
1196,37,married
1197,51,married
1198,28,divorced
1199,43,married
1200,32,single
1201,36,single
1202,33,single
1203,39,married
1204,28,married
1205,26,single
1206,40,married
1207,44,married
1208,34,married
1209,47,married
1210,55,single
1211,48,divorced
1212,36,single
1213,31,single
1214,30,single
1215,46,married
1216,30,single
1217,32,single
1218,48,single
1219,48,single
1220,36,single
1221,41,single
1222,49,single
1223,26,married
1224,38,married
1225,27,single
1226,51,married
1227,33,divorced
1228,53,married
1229,36,married
1230,48,divorced
1231,27,single
1232,42,married
1233,61,married
1234,31,married
1235,37,single
1236,34,married
1237,55,married
1238,24,married
1239,41,married
1240,34,single
1241,29,married
1242,42,single
1243,45,married
1244,49,married
1245,26,single
1246,35,single
1247,49,married
1248,44,married
1249,41,married
1250,50,married
1251,58,married
1252,43,married
1253,34,married
1254,57,divorced
1255,43,divorced
1256,38,married
1257,35,married
1258,49,married
1259,33,married
1260,60,married
1261,33,single
1262,33,divorced
1263,47,married
1264,37,single
1265,34,married
1266,32,single
1267,36,married
1268,40,single
1269,57,married
1270,48,married
1271,26,married
1272,30,single
1273,41,married
1274,30,married
1275,35,married
1276,36,married
1277,52,married
1278,45,married
1279,35,single
1280,46,single
1281,39,married
1282,38,married
1283,38,married
1284,31,single
1285,39,single
1286,32,married
1287,32,married
1288,26,single
1289,35,married
1290,26,single
1291,33,single
1292,41,single
1293,30,married
1294,36,single
1295,46,married
1296,30,married
1297,46,married
1298,38,married
1299,24,single
1300,41,divorced
1301,28,married
1302,55,single
1303,40,married
1304,38,divorced
1305,40,married
1306,54,married
1307,49,married
1308,44,married
1309,32,single
1310,36,married
1311,35,single
1312,31,single
1313,34,married
1314,36,married
1315,44,single
1316,44,single
1317,51,married
1318,36,married
1319,37,married
1320,31,married
1321,42,married
1322,55,married
1323,57,married
1324,33,married
1325,44,married
1326,30,married
1327,37,married
1328,32,married
1329,33,married
1330,31,single
1331,46,married
1332,34,single
1333,51,divorced
1334,49,married
1335,52,single
1336,43,married
1337,35,divorced
1338,27,single
1339,43,married
1340,49,divorced
1341,50,divorced
1342,33,divorced
1343,49,married
1344,50,married
1345,42,married
1346,28,married
1347,41,married
1348,34,married
1349,58,married
1350,46,married
1351,46,married
1352,42,married
1353,40,married
1354,42,divorced
1355,33,married
1356,27,married
1357,43,married
1358,28,married
1359,34,single
1360,37,married
1361,41,married
1362,39,single
1363,37,single
1364,41,married
1365,36,single
1366,51,married
1367,28,married
1368,31,married
1369,33,married
1370,28,divorced
1371,31,married
1372,43,single
1373,48,married
1374,26,single
1375,34,single
1376,38,married
1377,51,divorced
1378,49,single
1379,60,married
1380,32,single
1381,36,divorced
1382,28,single
1383,34,single
1384,40,single
1385,33,married
1386,37,married
1387,40,married
1388,59,divorced
1389,39,single
1390,28,single
1391,30,married
1392,40,married
1393,28,married
1394,39,married
1395,44,divorced
1396,39,single
1397,30,married
1398,35,married
1399,31,married
1400,47,married
1401,26,single
1402,25,single
1403,42,married
1404,30,married
1405,28,married
1406,46,divorced
1407,43,divorced
1408,38,married
1409,31,married
1410,29,single
1411,34,married
1412,40,married
1413,30,single
1414,44,married
1415,38,married
1416,43,divorced
1417,32,married
1418,33,married
1419,32,married
1420,40,married
1421,34,married
1422,30,married
1423,53,divorced
1424,39,single
1425,46,married
1426,32,married
1427,60,married
1428,40,single
1429,47,married
1430,25,married
1431,44,married
1432,38,single
1433,45,divorced
1434,34,married
1435,36,divorced
1436,30,single
1437,35,single
1438,39,divorced
1439,46,married
1440,36,married
1441,22,single
1442,26,single
1443,48,divorced
1444,32,married
1445,58,divorced
1446,57,married
1447,53,married
1448,29,divorced
1449,34,married
1450,32,single
1451,55,married
1452,50,divorced
1453,43,married
1454,44,single
1455,27,married
1456,35,married
1457,45,married
1458,35,single
1459,49,single
1460,34,married
1461,46,married
1462,43,married
1463,42,married
1464,55,married
1465,37,married
1466,31,married
1467,57,divorced
1468,33,married
1469,43,single
1470,60,divorced
1471,51,married
1472,38,single
1473,37,single
1474,41,single
1475,42,married
1476,41,divorced
1477,33,married
1478,32,single
1479,30,married
1480,43,married
1481,30,married
1482,37,divorced
1483,34,married
1484,32,single
1485,42,married
1486,35,single
1487,34,married
1488,50,married
1489,34,married
1490,38,divorced
1491,28,married
1492,55,married
1493,38,married
1494,31,married
1495,57,married
1496,50,divorced
1497,47,married
1498,39,married
1499,34,married
1500,41,married
1501,59,married
1502,35,single
1503,31,single
1504,55,married
1505,36,married
1506,41,married
1507,44,single
1508,40,single
1509,32,married
1510,38,single
1511,27,single
1512,33,married
1513,37,married
1514,40,married
1515,33,single
1516,40,single
1517,27,married
1518,42,single
1519,41,married
1520,37,single
1521,38,married
1522,44,married
1523,31,married
1524,34,married
1525,46,married
1526,33,married
1527,36,married
1528,32,single
1529,27,single
1530,31,married
1531,41,single
1532,35,married
1533,50,single
1534,33,married
1535,48,married
1536,36,married
1537,29,single
1538,34,married
1539,39,married
1540,32,divorced
1541,59,divorced
1542,50,married
1543,37,married
1544,33,single
1545,52,married
1546,43,married
1547,53,married
1548,37,married
1549,50,single
1550,53,married
1551,47,married
1552,48,divorced
1553,35,divorced
1554,42,married
1555,43,divorced
1556,40,single
1557,36,married
1558,39,married
1559,32,divorced
1560,44,divorced
1561,43,divorced
1562,53,married
1563,41,married
1564,53,married
1565,31,married
1566,51,married
1567,32,married
1568,52,married
1569,41,married
1570,30,single
1571,32,single
1572,31,married
1573,38,married
1574,44,married
1575,36,married
1576,34,married
1577,40,married
1578,41,married
1579,56,divorced
1580,39,married
1581,34,married
1582,41,single
1583,39,single
1584,33,married
1585,52,divorced
1586,26,single
1587,54,married
1588,30,married
1589,35,married
1590,47,divorced
1591,53,divorced
1592,29,single
1593,36,married
1594,35,married
1595,43,married
1596,38,married
1597,39,married
1598,58,married
1599,33,married
1600,60,married
1601,45,married
1602,39,married
1603,35,married
1604,41,married
1605,40,married
1606,33,married
1607,32,divorced
1608,44,married
1609,34,single
1610,29,single
1611,49,married
1612,31,married
1613,47,divorced
1614,34,married
1615,32,single
1616,32,single
1617,56,single
1618,28,single
1619,35,single
1620,52,single
1621,35,married
1622,32,married
1623,42,divorced
1624,51,single
1625,47,married
1626,34,married
1627,45,married
1628,31,divorced
1629,40,married
1630,53,married
1631,44,single
1632,49,married
1633,47,married
1634,31,married
1635,45,single
1636,30,married
1637,40,divorced
1638,27,single
1639,28,married
1640,28,single
1641,44,married
1642,35,married
1643,29,married
1644,33,divorced
1645,32,married
1646,35,single
1647,31,single
1648,36,single
1649,41,married
1650,35,married
1651,40,married
1652,42,married
1653,34,single
1654,41,single
1655,43,divorced
1656,37,married
1657,26,single
1658,32,married
1659,51,married
1660,38,single
1661,51,divorced
1662,49,divorced
1663,31,married
1664,33,married
1665,30,single
1666,33,married
1667,41,married
1668,37,married
1669,33,married
1670,32,married
1671,46,married
1672,34,single
1673,32,married
1674,43,single
1675,28,married
1676,46,divorced
1677,52,divorced
1678,34,married
1679,27,divorced
1680,32,single
1681,37,single
1682,29,married
1683,40,divorced
1684,47,married
1685,34,married
1686,25,single
1687,30,married
1688,31,married
1689,35,married
1690,32,divorced
1691,28,single
1692,27,single
1693,37,married
1694,35,single
1695,34,married
1696,31,married
1697,36,divorced
1698,38,married
1699,25,married
1700,51,single
1701,26,single
1702,40,married
1703,26,single
1704,36,married
1705,59,married
1706,26,single
1707,49,married
1708,33,married
1709,31,married
1710,59,single
1711,38,married
1712,37,single
1713,31,single
1714,54,married
1715,41,married
1716,44,married
1717,28,single
1718,22,single
1719,31,married
1720,36,married
1721,37,divorced
1722,54,married
1723,28,single
1724,42,married
1725,35,single
1726,29,married
1727,59,single
1728,46,married
1729,32,single
1730,43,divorced
1731,41,married
1732,31,married
1733,26,single
1734,29,married
1735,31,married
1736,37,divorced
1737,35,married
1738,31,single
1739,30,married
1740,29,single
1741,29,divorced
1742,39,single
1743,31,single
1744,27,single
1745,22,single
1746,31,single
1747,39,single
1748,25,single
1749,27,single
1750,28,single
1751,31,married
1752,46,divorced
1753,37,married
1754,27,single
1755,34,divorced
1756,30,single
1757,23,single
1758,33,divorced
1759,43,married
1760,50,married
1761,31,married
1762,32,single
1763,32,single
1764,37,divorced
1765,60,divorced
1766,47,divorced
1767,32,married
1768,34,married
1769,36,divorced
1770,28,single
1771,31,divorced
1772,43,married
1773,32,single
1774,31,married
1775,56,married
1776,34,single
1777,46,single
1778,27,single
1779,33,married
1780,35,married
1781,29,single
1782,39,married
1783,48,married
1784,58,married
1785,36,married
1786,33,married
1787,32,married
1788,32,single
1789,31,married
1790,30,single
1791,30,single
1792,40,married
1793,35,married
1794,42,married
1795,60,married
1796,28,single
1797,29,single
1798,33,married
1799,23,single
1800,34,married
1801,29,single
1802,32,single
1803,55,married
1804,39,single
1805,37,single
1806,26,single
1807,35,divorced
1808,26,single
1809,34,single
1810,55,married
1811,39,married
1812,27,married
1813,30,single
1814,28,single
1815,33,single
1816,43,married
1817,50,married
1818,26,single
1819,33,married
1820,47,married
1821,33,single
1822,34,married
1823,33,single
1824,23,single
1825,29,single
1826,33,married
1827,41,married
1828,27,single
1829,34,single
1830,53,married
1831,34,single
1832,40,married
1833,27,married
1834,33,married
1835,40,single
1836,21,single
1837,31,married
1838,51,married
1839,26,single
1840,26,married
1841,32,single
1842,31,married
1843,27,married
1844,58,divorced
1845,39,married
1846,30,married
1847,29,single
1848,38,married
1849,29,married
1850,28,single
1851,41,single
1852,43,married
1853,43,single
1854,37,married
1855,46,divorced
1856,53,married
1857,28,single
1858,41,married
1859,36,married
1860,37,married
1861,38,married
1862,32,married
1863,33,divorced
1864,28,single
1865,52,divorced
1866,30,single
1867,37,married
1868,27,single
1869,31,married
1870,47,divorced
1871,33,single
1872,46,married
1873,38,married
1874,33,single
1875,44,married
1876,35,married
1877,38,married
1878,56,married
1879,33,single
1880,45,married
1881,30,married
1882,34,married
1883,32,married
1884,32,single
1885,27,married
1886,48,married
1887,54,married
1888,29,single
1889,37,divorced
1890,26,married
1891,43,married
1892,31,married
1893,55,married
1894,45,single
1895,35,single
1896,57,married
1897,49,married
1898,23,single
1899,49,divorced
1900,35,single
1901,38,single
1902,39,married
1903,27,single
1904,37,married
1905,57,married
1906,38,single
1907,26,married
1908,46,married
1909,44,married
1910,44,married
1911,28,married
1912,37,married
1913,43,single
1914,25,single
1915,34,single
1916,39,married
1917,35,single
1918,32,married
1919,31,married
1920,42,married
1921,31,single
1922,30,single
1923,29,single
1924,29,single
1925,36,married
1926,41,married
1927,37,single
1928,32,single
1929,39,married
1930,31,single
1931,33,single
1932,30,single
1933,24,single
1934,55,married
1935,27,single
1936,47,divorced
1937,29,married
1938,56,married
1939,31,single
1940,46,married
1941,47,single
1942,29,single
1943,35,divorced
1944,31,single
1945,29,single
1946,48,divorced
1947,59,married
1948,44,married
1949,30,single
1950,50,married
1951,25,married
1952,32,married
1953,49,married
1954,38,married
1955,29,single
1956,51,married
1957,29,single
1958,32,divorced
1959,43,married
1960,34,married
1961,37,married
1962,29,single
1963,39,single
1964,34,married
1965,28,married
1966,37,married
1967,29,married
1968,25,single
1969,33,married
1970,34,single
1971,50,divorced
1972,35,married
1973,53,divorced
1974,41,single
1975,48,married
1976,32,single
1977,38,married
1978,57,married
1979,50,married
1980,40,married
1981,45,single
1982,34,single
1983,32,married
1984,28,single
1985,30,married
1986,41,single
1987,36,married
1988,49,divorced
1989,32,married
1990,53,married
1991,44,married
1992,34,divorced
1993,56,divorced
1994,27,single
1995,32,married
1996,43,single
1997,34,divorced
1998,35,married
1999,28,married
2000,52,married
2001,36,married
2002,35,single
2003,30,married
2004,23,single
2005,37,divorced
2006,29,single
2007,28,single
2008,56,divorced
2009,27,married
2010,33,single
2011,53,married
2012,47,married
2013,50,married
2014,31,single
2015,31,married
2016,37,married
2017,37,single
2018,48,married
2019,31,single
2020,34,married
2021,32,single
2022,54,married
2023,31,single
2024,55,married
2025,27,married
2026,36,married
2027,33,married
2028,43,married
2029,42,married
2030,48,married
2031,41,single
2032,36,married
2033,32,single
2034,58,single
2035,40,married
2036,31,married
2037,42,married
2038,34,divorced
2039,34,married
2040,35,married
2041,57,divorced
2042,28,married
2043,50,married
2044,46,married
2045,28,married
2046,57,married
2047,49,married
2048,56,single
2049,56,married
2050,49,divorced
2051,50,married
2052,47,single
2053,45,married
2054,44,married
2055,51,married
2056,34,married
2057,25,married
2058,30,married
2059,39,divorced
2060,25,married
