,y,loan,bank_arg1
138,no,no,0.14
139,no,no,0.14
140,no,no,0.17
141,no,no,0.11
142,no,no,0.12
143,no,no,0.15
144,no,no,0.15
145,no,no,0.13
146,no,no,0.12
147,no,no,0.1
148,no,no,0.14
149,no,no,0.11
150,no,no,0.11
151,no,no,0.17
152,no,no,0.1
153,no,no,0.16
154,no,no,0.11
155,no,no,0.19
156,no,no,0.2
157,no,no,0.16
158,no,no,0.16
159,no,no,0.19
160,no,no,0.15
161,no,no,0.11
162,no,no,0.1
163,no,no,0.1
164,no,no,0.1
165,no,no,0.1
166,no,no,0.2
167,no,no,0.1
168,yes,no,0.6
169,no,no,0.14
170,no,no,0.17
171,no,yes,0.3
172,no,no,0.18
173,no,no,0.2
174,no,no,0.13
175,no,no,0.19
176,no,no,0.16
177,no,no,0.19
178,no,no,0.13
179,no,no,0.2
180,no,no,0.17
181,no,no,0.18
182,no,no,0.13
183,no,no,0.1
184,no,no,0.1
185,no,no,0.19
186,no,no,0.1
187,no,no,0.17
188,no,yes,0.37
189,no,no,0.13
190,no,no,0.11
191,no,no,0.1
192,no,no,0.16
193,no,no,0.13
194,no,no,0.2
195,no,no,0.11
196,no,no,0.1
197,no,yes,0.38
198,no,no,0.13
199,no,no,0.18
200,no,no,0.16
201,no,no,0.19
202,no,no,0.16
203,no,no,0.16
204,no,no,0.17
205,no,no,0.13
206,no,yes,0.4
207,no,no,0.19
208,no,no,0.17
209,no,no,0.12
210,no,no,0.18
211,no,no,0.19
212,no,no,0.13
213,no,no,0.17
214,no,no,0.11
215,no,no,0.17
216,no,no,0.1
217,no,no,0.11
218,no,no,0.18
219,no,yes,0.39
220,no,no,0.13
221,no,no,0.18
222,no,no,0.16
223,no,yes,0.39
224,no,no,0.19
225,no,no,0.11
226,no,no,0.1
227,no,no,0.16
228,no,no,0.15
229,no,no,0.17
230,no,no,0.14
231,no,no,0.18
232,no,no,0.16
233,no,no,0.13
234,no,no,0.13
235,no,no,0.19
236,no,no,0.14
237,no,no,0.19
238,no,no,0.19
239,no,yes,0.32
240,no,yes,0.35
241,no,no,0.13
242,no,no,0.2
243,no,no,0.16
244,no,no,0.11
245,no,no,0.18
246,no,no,0.19
247,no,no,0.19
248,no,no,0.2
249,no,no,0.11
250,no,no,0.1
251,no,yes,0.38
252,no,no,0.14
253,no,no,0.17
254,no,no,0.16
255,no,no,0.11
256,no,no,0.1
257,no,no,0.11
258,no,yes,0.37
259,no,no,0.16
260,no,no,0.2
261,no,no,0.11
262,no,no,0.17
263,no,no,0.13
264,no,no,0.19
265,no,no,0.2
266,no,no,0.12
267,no,no,0.17
268,no,yes,0.31
269,no,no,0.13
270,yes,yes,0.72
271,no,no,0.15
272,no,no,0.11
273,no,no,0.13
274,no,no,0.11
275,no,no,0.2
276,no,no,0.11
277,no,no,0.11
278,no,no,0.18
279,no,no,0.15
280,no,no,0.1
281,no,yes,0.31
282,no,no,0.13
283,no,no,0.11
284,no,no,0.17
285,no,no,0.16
286,no,no,0.1
287,no,no,0.2
288,no,no,0.1
289,no,no,0.14
290,no,no,0.16
291,no,no,0.15
292,no,no,0.17
293,no,no,0.16
294,no,no,0.15
295,no,no,0.16
296,no,no,0.16
297,no,no,0.13
298,no,no,0.12
299,no,no,0.13
300,no,no,0.15
301,no,no,0.1
302,no,no,0.19
303,no,no,0.1
304,no,no,0.2
305,no,no,0.17
306,no,no,0.19
307,no,no,0.17
308,no,yes,0.4
309,no,no,0.11
310,no,no,0.12
311,no,no,0.17
312,no,yes,0.32
313,no,yes,0.39
314,no,no,0.11
315,no,no,0.19
316,no,yes,0.31
317,no,no,0.16
318,no,no,0.18
319,no,no,0.14
320,no,no,0.2
321,no,no,0.15
322,no,no,0.18
323,no,no,0.19
324,no,no,0.12
325,no,no,0.15
326,no,no,0.14
327,no,no,0.11
328,no,no,0.1
329,no,no,0.12
330,no,no,0.12
331,no,no,0.19
332,no,no,0.19
333,no,no,0.2
334,no,no,0.17
335,no,no,0.1
336,no,no,0.1
337,no,yes,0.36
338,no,no,0.2
339,no,no,0.14
340,no,no,0.17
341,no,no,0.18
342,no,no,0.18
343,no,no,0.14
344,no,no,0.12
345,no,no,0.15
346,no,no,0.14
347,no,no,0.17
348,no,no,0.17
349,no,no,0.17
350,no,no,0.14
351,no,no,0.12
352,no,no,0.15
353,no,no,0.14
354,no,no,0.16
355,no,no,0.12
356,no,no,0.14
357,no,no,0.14
358,no,no,0.14
359,no,no,0.18
360,no,no,0.14
361,no,no,0.11
362,no,no,0.12
363,no,yes,0.31
364,no,no,0.1
365,no,no,0.14
366,no,no,0.19
367,no,no,0.11
368,no,no,0.11
369,no,no,0.15
370,no,no,0.19
371,no,yes,0.3
372,no,no,0.19
373,no,no,0.19
374,no,no,0.13
375,no,no,0.12
376,no,no,0.18
377,no,no,0.18
378,no,no,0.17
379,no,no,0.19
380,no,no,0.12
381,no,yes,0.3
382,no,no,0.1
383,no,no,0.13
384,no,no,0.18
385,no,yes,0.36
386,no,no,0.13
387,no,no,0.12
388,yes,yes,0.8
389,no,no,0.14
390,yes,no,0.58
391,no,no,0.19
392,no,no,0.13
393,no,no,0.15
394,no,no,0.13
395,no,yes,0.38
396,no,no,0.2
397,no,no,0.12
398,no,yes,0.3
399,no,no,0.1
400,no,no,0.17
401,no,yes,0.31
402,no,no,0.15
403,no,no,0.17
404,no,no,0.1
405,no,no,0.15
406,no,no,0.19
407,no,no,0.2
408,no,no,0.1
409,no,no,0.13
410,no,no,0.14
411,no,no,0.18
412,no,no,0.16
413,no,no,0.1
414,no,no,0.1
415,no,no,0.17
416,no,no,0.18
417,no,no,0.11
418,no,yes,0.39
419,no,no,0.15
420,no,no,0.13
421,no,no,0.1
422,no,no,0.2
423,no,no,0.19
424,no,no,0.16
425,no,no,0.12
426,no,no,0.18
427,no,no,0.15
428,no,no,0.12
429,no,no,0.1
430,no,no,0.19
431,no,no,0.11
432,no,no,0.13
433,no,no,0.14
434,no,no,0.15
435,no,no,0.15
436,no,no,0.18
437,no,no,0.18
438,no,no,0.18
439,no,no,0.15
440,no,no,0.17
441,no,no,0.14
442,no,no,0.16
443,no,no,0.14
444,no,no,0.19
445,no,no,0.15
446,yes,no,0.56
447,no,no,0.16
448,no,no,0.16
449,no,no,0.18
450,no,no,0.2
451,no,no,0.2
452,no,no,0.16
453,no,yes,0.35
454,no,yes,0.3
455,no,yes,0.31
456,no,yes,0.37
457,yes,no,0.5
458,no,no,0.17
459,no,no,0.13
460,no,no,0.15
461,no,no,0.15
462,no,no,0.19
463,no,no,0.17
464,no,no,0.15
465,no,yes,0.37
466,no,no,0.12
467,no,no,0.15
468,no,no,0.1
469,no,no,0.17
470,no,no,0.12
471,no,no,0.13
472,no,no,0.16
473,no,no,0.15
474,yes,no,0.52
475,no,no,0.1
476,no,no,0.17
477,no,no,0.11
478,no,no,0.12
479,no,no,0.18
480,no,no,0.14
481,no,no,0.13
482,no,yes,0.4
483,no,no,0.16
484,no,no,0.18
485,no,no,0.13
486,no,yes,0.37
487,no,yes,0.35
488,no,no,0.11
489,no,no,0.13
490,no,no,0.2
491,no,no,0.15
492,no,no,0.1
493,no,no,0.19
494,no,no,0.14
495,no,no,0.15
496,no,no,0.17
497,no,no,0.16
498,no,no,0.15
499,no,no,0.12
500,no,yes,0.34
501,no,no,0.18
502,no,yes,0.39
503,no,no,0.19
504,no,no,0.2
505,no,no,0.2
506,no,no,0.14
507,no,no,0.13
508,no,no,0.15
509,no,no,0.19
510,no,no,0.11
511,no,no,0.15
512,yes,no,0.59
513,no,yes,0.4
514,no,no,0.16
515,no,yes,0.3
516,no,yes,0.38
517,no,no,0.11
518,no,yes,0.34
519,no,no,0.17
520,no,no,0.17
521,no,no,0.12
522,no,no,0.16
523,no,no,0.11
524,no,no,0.15
525,no,no,0.16
526,no,no,0.11
527,no,no,0.1
528,no,no,0.19
529,no,yes,0.36
530,no,no,0.17
531,no,no,0.12
532,no,no,0.11
533,no,no,0.18
534,no,no,0.11
535,no,no,0.16
536,no,no,0.16
537,no,no,0.18
538,no,no,0.12
539,no,no,0.14
540,no,no,0.2
541,no,no,0.18
542,no,no,0.1
543,no,no,0.16
544,no,no,0.17
545,no,no,0.1
546,no,no,0.16
547,no,no,0.11
548,no,no,0.12
549,no,no,0.11
550,no,yes,0.4
551,no,no,0.16
552,no,no,0.16
553,no,no,0.1
554,no,no,0.1
555,no,no,0.13
556,no,no,0.13
557,no,no,0.12
558,no,no,0.16
559,no,no,0.11
560,no,no,0.12
561,no,no,0.15
562,no,no,0.13
563,no,no,0.15
564,no,yes,0.36
565,no,yes,0.39
566,no,no,0.11
567,no,no,0.11
568,no,no,0.13
569,yes,no,0.5
570,no,no,0.12
571,no,no,0.18
572,no,yes,0.4
573,no,no,0.14
574,no,no,0.16
575,no,yes,0.36
576,no,no,0.18
577,no,no,0.13
578,no,no,0.19
579,no,no,0.12
580,no,yes,0.3
581,no,no,0.16
582,no,no,0.19
583,no,no,0.12
584,no,no,0.12
585,no,no,0.11
586,no,no,0.18
587,no,no,0.13
588,no,no,0.13
589,no,yes,0.32
590,no,no,0.1
591,no,no,0.18
592,no,no,0.2
593,no,yes,0.37
594,no,no,0.15
595,no,no,0.14
596,no,no,0.12
597,no,no,0.13
598,no,no,0.15
599,no,no,0.15
600,no,no,0.17
601,no,no,0.13
602,no,no,0.11
603,no,yes,0.31
604,no,yes,0.37
605,no,yes,0.35
606,no,no,0.15
607,no,yes,0.36
608,no,no,0.16
609,no,yes,0.31
610,no,no,0.15
611,no,no,0.11
612,no,no,0.12
613,no,no,0.12
614,no,no,0.17
615,no,no,0.18
616,no,yes,0.39
617,no,no,0.19
618,no,no,0.2
619,no,no,0.12
620,no,no,0.1
621,no,yes,0.35
622,no,no,0.14
623,no,no,0.14
624,yes,no,0.51
625,no,no,0.16
626,no,no,0.11
627,no,no,0.15
628,no,no,0.19
629,no,yes,0.3
630,no,no,0.17
631,no,no,0.17
632,no,no,0.18
633,no,no,0.2
634,no,yes,0.35
635,no,no,0.12
636,no,no,0.19
637,no,no,0.18
638,no,no,0.11
639,no,yes,0.39
640,no,no,0.11
641,no,no,0.2
642,no,no,0.1
643,no,no,0.1
644,no,no,0.14
645,no,no,0.2
646,no,yes,0.33
647,no,no,0.17
648,no,no,0.14
649,no,yes,0.38
650,no,no,0.18
651,no,no,0.2
652,no,no,0.16
653,no,no,0.12
654,no,no,0.15
655,no,no,0.1
656,no,no,0.19
657,no,yes,0.39
658,no,no,0.16
659,no,no,0.16
660,no,no,0.19
661,no,no,0.2
662,no,no,0.12
663,no,no,0.1
664,no,no,0.2
665,no,no,0.19
666,no,no,0.2
667,no,no,0.17
668,no,no,0.12
669,no,no,0.13
670,no,no,0.16
671,no,no,0.16
672,no,no,0.16
673,no,no,0.1
674,no,no,0.12
675,no,no,0.19
676,no,yes,0.37
677,no,no,0.11
678,no,no,0.17
679,no,no,0.17
680,no,no,0.17
681,no,no,0.13
682,no,yes,0.32
683,no,no,0.2
684,no,no,0.18
685,no,no,0.11
686,no,no,0.16
687,no,yes,0.4
688,no,no,0.16
689,no,no,0.1
690,no,no,0.15
691,no,no,0.11
692,no,no,0.18
693,no,no,0.12
694,yes,yes,0.75
695,no,no,0.13
696,no,no,0.1
697,no,no,0.14
698,no,no,0.18
699,no,no,0.19
700,no,yes,0.4
701,no,no,0.19
702,no,no,0.14
703,no,no,0.1
704,no,no,0.16
705,no,no,0.15
706,no,no,0.12
707,no,yes,0.33
708,no,no,0.14
709,no,no,0.16
710,no,yes,0.3
711,no,no,0.14
712,no,no,0.17
713,no,no,0.17
714,no,no,0.14
715,no,no,0.18
716,no,no,0.18
717,no,no,0.18
718,no,no,0.2
719,no,no,0.11
720,no,no,0.18
721,no,no,0.11
722,no,no,0.18
723,no,no,0.13
724,no,no,0.13
725,no,no,0.17
726,no,no,0.17
727,no,no,0.19
728,no,no,0.13
729,no,no,0.12
730,no,no,0.2
731,no,no,0.2
732,no,no,0.17
733,no,no,0.18
734,no,no,0.18
735,no,yes,0.35
736,no,no,0.1
737,no,no,0.1
738,no,no,0.15
739,no,no,0.11
740,no,no,0.12
741,no,no,0.12
742,no,no,0.2
743,no,no,0.2
744,no,no,0.12
745,no,no,0.18
746,no,no,0.19
747,no,no,0.1
748,no,no,0.14
749,no,no,0.11
750,no,no,0.17
751,no,no,0.19
752,no,no,0.13
753,no,no,0.2
754,no,yes,0.38
755,no,no,0.14
756,no,no,0.1
757,no,no,0.2
758,no,yes,0.4
759,no,no,0.11
760,no,no,0.19
761,no,no,0.2
762,no,no,0.17
763,no,no,0.12
764,no,yes,0.38
765,no,no,0.12
766,no,no,0.17
767,no,no,0.12
768,no,no,0.18
769,no,no,0.16
770,no,no,0.16
771,no,no,0.15
772,no,no,0.13
773,no,no,0.17
774,no,no,0.13
775,no,no,0.19
776,no,no,0.14
777,no,no,0.2
778,no,no,0.18
779,no,no,0.18
780,no,no,0.19
781,no,no,0.12
782,no,no,0.18
783,no,no,0.15
784,no,no,0.18
785,no,no,0.2
786,no,yes,0.37
787,no,no,0.14
788,no,no,0.16
789,no,no,0.18
790,no,no,0.2
791,no,no,0.15
792,no,no,0.16
793,no,no,0.14
794,no,no,0.15
795,no,no,0.1
796,no,no,0.11
797,no,no,0.11
798,no,yes,0.4
799,no,no,0.15
800,no,no,0.11
801,no,no,0.12
802,no,no,0.12
803,no,no,0.2
804,no,no,0.11
805,no,no,0.18
806,no,no,0.19
807,no,no,0.18
808,no,no,0.1
809,no,no,0.12
810,no,no,0.16
811,no,no,0.12
812,no,no,0.11
813,no,no,0.12
814,no,no,0.2
815,no,no,0.2
816,no,no,0.18
817,no,no,0.2
818,no,no,0.11
819,no,no,0.11
820,no,yes,0.34
821,no,no,0.2
822,no,no,0.15
823,no,no,0.17
824,no,no,0.12
825,no,yes,0.33
826,no,no,0.17
827,no,yes,0.31
828,no,no,0.15
829,no,no,0.18
830,no,no,0.1
831,no,no,0.16
832,no,no,0.15
833,no,no,0.1
834,no,no,0.15
835,no,no,0.1
836,no,no,0.13
837,no,no,0.13
838,no,no,0.17
839,no,no,0.15
840,no,no,0.18
841,no,no,0.2
842,no,no,0.13
843,no,no,0.2
844,no,no,0.15
845,no,no,0.17
846,no,no,0.13
847,no,no,0.18
848,no,no,0.18
849,yes,yes,0.7
850,no,no,0.2
851,no,no,0.18
852,no,yes,0.31
853,no,no,0.15
854,no,no,0.12
855,no,no,0.18
856,no,no,0.15
857,no,no,0.14
858,no,no,0.2
859,no,yes,0.4
860,no,no,0.15
861,no,no,0.13
862,no,no,0.13
863,no,no,0.15
864,no,no,0.14
865,no,no,0.12
866,no,no,0.12
867,no,no,0.12
868,no,no,0.18
869,no,no,0.2
870,no,no,0.18
871,no,no,0.13
872,no,no,0.15
873,no,no,0.18
874,no,no,0.11
875,no,no,0.19
876,no,no,0.17
877,yes,no,0.5
878,no,no,0.15
879,no,no,0.2
880,no,no,0.19
881,no,no,0.17
882,no,yes,0.39
883,no,no,0.15
884,no,no,0.19
885,no,no,0.18
886,no,no,0.12
887,no,no,0.1
888,no,no,0.11
889,no,yes,0.39
890,no,no,0.11
891,yes,yes,0.74
892,no,yes,0.3
893,no,no,0.14
894,no,yes,0.38
895,no,yes,0.35
896,no,no,0.12
897,yes,no,0.53
898,no,no,0.2
899,no,no,0.14
900,no,no,0.14
901,no,yes,0.37
902,no,yes,0.4
903,no,no,0.15
904,no,no,0.18
905,no,no,0.14
906,no,no,0.11
907,no,no,0.16
908,no,no,0.16
909,no,no,0.14
910,no,no,0.14
911,no,no,0.16
912,no,no,0.17
913,no,no,0.13
914,no,no,0.1
915,no,no,0.17
916,no,no,0.16
917,no,no,0.13
918,no,no,0.18
919,no,no,0.13
920,no,no,0.15
921,no,no,0.11
922,no,no,0.16
923,no,no,0.15
924,no,no,0.19
925,no,no,0.11
926,no,no,0.19
927,no,no,0.14
928,no,no,0.2
929,no,yes,0.34
930,no,yes,0.37
931,no,no,0.15
932,no,yes,0.33
933,no,no,0.17
934,no,no,0.18
935,no,no,0.13
936,no,no,0.19
937,no,no,0.12
938,no,yes,0.36
939,no,no,0.16
940,no,no,0.13
941,no,no,0.14
942,no,no,0.12
943,no,yes,0.36
944,no,no,0.17
945,no,no,0.18
946,no,no,0.18
947,no,no,0.13
948,no,no,0.16
949,no,no,0.2
950,no,yes,0.4
951,no,no,0.12
952,no,no,0.2
953,no,no,0.1
954,no,no,0.18
955,no,no,0.18
956,no,yes,0.35
957,no,no,0.15
958,no,no,0.11
959,no,no,0.2
960,no,no,0.17
961,no,no,0.1
962,no,no,0.18
963,no,yes,0.34
964,no,no,0.17
965,no,no,0.14
966,no,no,0.14
967,no,no,0.2
968,no,no,0.16
969,no,no,0.18
970,no,no,0.18
971,no,no,0.17
972,no,no,0.17
973,no,no,0.18
974,no,no,0.2
975,no,yes,0.33
976,no,yes,0.39
977,no,no,0.19
978,no,no,0.16
979,no,no,0.18
980,no,no,0.2
981,no,no,0.17
982,no,no,0.18
983,no,no,0.12
984,no,no,0.1
985,no,no,0.15
986,no,no,0.12
987,no,yes,0.38
988,no,no,0.11
989,no,no,0.12
990,no,no,0.12
991,no,no,0.13
992,no,no,0.12
993,no,no,0.14
994,no,yes,0.37
995,no,no,0.16
996,no,no,0.11
997,no,no,0.2
998,no,no,0.17
999,no,no,0.13
1000,no,no,0.15
1001,no,no,0.11
1002,no,no,0.15
1003,no,no,0.18
1004,no,no,0.2
1005,no,no,0.12
1006,no,no,0.18
1007,no,no,0.1
1008,no,no,0.11
1009,no,no,0.1
1010,no,no,0.14
1011,no,yes,0.33
1012,no,no,0.12
1013,no,no,0.15
1014,no,no,0.16
1015,no,no,0.14
1016,no,no,0.16
1017,no,no,0.14
1018,no,no,0.1
1019,no,no,0.18
1020,no,no,0.14
1021,no,no,0.12
1022,no,no,0.13
1023,no,yes,0.36
1024,no,no,0.1
1025,no,yes,0.31
1026,no,no,0.14
1027,no,no,0.15
1028,no,no,0.15
1029,no,yes,0.39
1030,no,no,0.1
1031,no,yes,0.37
1032,no,yes,0.36
1033,no,no,0.16
1034,no,no,0.16
1035,no,no,0.14
1036,no,yes,0.39
1037,no,no,0.12
1038,no,no,0.13
1039,no,no,0.18
1040,no,yes,0.3
1041,no,no,0.13
1042,no,no,0.19
1043,no,yes,0.4
1044,no,no,0.18
1045,no,no,0.11
1046,no,no,0.13
1047,no,yes,0.4
1048,no,no,0.2
1049,no,no,0.15
1050,no,no,0.16
1051,no,no,0.11
1052,no,no,0.15
1053,no,no,0.13
1054,no,no,0.11
1055,no,no,0.2
1056,no,no,0.14
1057,no,no,0.17
1058,no,no,0.12
1059,no,no,0.17
1060,no,no,0.11
1061,no,no,0.17
1062,no,no,0.17
1063,no,no,0.14
1064,no,no,0.1
1065,no,no,0.19
1066,no,no,0.17
1067,no,yes,0.32
1068,no,no,0.1
1069,no,no,0.2
1070,no,no,0.1
1071,no,no,0.17
1072,no,no,0.19
1073,no,no,0.12
1074,no,no,0.19
1075,no,no,0.19
1076,no,no,0.19
1077,no,no,0.17
1078,no,no,0.12
1079,no,no,0.15
1080,no,no,0.15
1081,no,no,0.1
1082,no,yes,0.39
1083,no,no,0.19
1084,no,no,0.17
1085,no,no,0.1
1086,no,no,0.19
1087,yes,no,0.55
1088,no,no,0.13
1089,no,no,0.18
1090,no,no,0.1
1091,no,no,0.19
1092,no,no,0.1
1093,no,no,0.17
1094,no,no,0.16
1095,no,no,0.12
1096,no,no,0.12
1097,no,no,0.14
1098,no,no,0.2
1099,no,no,0.1
1100,no,no,0.17
1101,no,no,0.11
1102,no,yes,0.32
1103,no,no,0.1
1104,no,no,0.15
1105,no,no,0.11
1106,no,no,0.19
1107,no,no,0.12
1108,no,no,0.13
1109,no,no,0.13
1110,no,no,0.1
1111,no,yes,0.31
1112,no,no,0.16
1113,no,yes,0.35
1114,no,yes,0.39
1115,no,yes,0.34
1116,no,no,0.12
1117,no,no,0.19
1118,no,no,0.12
1119,no,no,0.13
1120,no,no,0.18
1121,no,no,0.2
1122,no,no,0.13
1123,no,no,0.19
1124,yes,yes,0.7
1125,no,no,0.18
1126,no,no,0.14
1127,no,no,0.15
1128,no,no,0.19
1129,no,no,0.1
1130,no,no,0.18
1131,no,no,0.19
1132,no,no,0.2
1133,no,yes,0.3
1134,no,no,0.12
1135,no,no,0.13
1136,no,no,0.1
1137,no,no,0.16
1138,no,no,0.19
1139,no,no,0.18
1140,yes,no,0.57
1141,no,no,0.13
1142,no,no,0.14
1143,no,yes,0.31
1144,no,no,0.19
1145,no,no,0.17
1146,no,no,0.17
1147,no,no,0.19
1148,no,no,0.11
1149,no,no,0.1
1150,no,no,0.17
1151,no,no,0.1
1152,no,no,0.18
1153,no,yes,0.32
1154,no,no,0.15
1155,no,no,0.12
1156,no,no,0.11
1157,no,no,0.11
1158,no,no,0.13
1159,no,no,0.17
1160,no,no,0.16
1161,no,no,0.16
1162,no,no,0.17
1163,no,yes,0.36
1164,no,no,0.15
1165,no,no,0.17
1166,no,no,0.11
1167,no,no,0.13
1168,no,no,0.12
1169,no,no,0.18
1170,no,no,0.13
1171,no,no,0.11
1172,yes,no,0.56
1173,yes,no,0.55
1174,no,no,0.15
1175,no,no,0.1
1176,no,yes,0.35
1177,no,no,0.13
1178,no,no,0.1
1179,no,no,0.19
1180,no,no,0.12
1181,no,no,0.15
1182,no,yes,0.39
1183,no,no,0.12
1184,no,no,0.2
1185,no,no,0.14
1186,no,yes,0.34
1187,no,no,0.15
1188,no,no,0.11
1189,no,no,0.16
1190,no,no,0.19
1191,no,no,0.1
1192,no,no,0.14
1193,yes,no,0.6
1194,no,yes,0.34
1195,no,no,0.18
1196,no,no,0.1
1197,no,yes,0.38
1198,no,no,0.2
1199,no,no,0.12
1200,yes,no,0.56
1201,no,no,0.14
1202,no,no,0.15
1203,no,yes,0.31
1204,no,no,0.19
1205,no,no,0.1
1206,no,no,0.19
1207,no,no,0.13
1208,no,no,0.17
1209,no,no,0.15
1210,no,no,0.17
1211,no,no,0.15
1212,no,no,0.15
1213,no,yes,0.32
1214,no,yes,0.34
1215,no,no,0.11
1216,no,no,0.16
1217,no,yes,0.33
1218,no,no,0.1
1219,no,no,0.1
1220,no,no,0.18
1221,no,no,0.17
1222,no,no,0.11
1223,no,no,0.2
1224,no,no,0.11
1225,no,no,0.17
1226,no,yes,0.38
1227,no,no,0.13
1228,no,no,0.13
1229,no,no,0.1
1230,no,no,0.19
1231,no,no,0.17
1232,no,no,0.18
1233,no,no,0.14
1234,no,no,0.2
1235,no,no,0.18
1236,no,no,0.13
1237,no,no,0.19
1238,no,no,0.18
1239,no,no,0.17
1240,no,no,0.14
1241,no,no,0.14
1242,no,yes,0.3
1243,no,no,0.14
1244,no,no,0.2
1245,no,no,0.13
1246,no,no,0.19
1247,yes,no,0.51
1248,no,no,0.13
1249,no,no,0.11
1250,no,no,0.19
1251,no,no,0.16
1252,no,no,0.13
1253,no,no,0.14
1254,no,no,0.1
1255,no,no,0.18
1256,no,no,0.11
1257,no,no,0.17
1258,no,no,0.19
1259,no,no,0.12
1260,no,no,0.15
1261,no,no,0.11
1262,no,no,0.2
1263,no,no,0.13
1264,no,no,0.17
1265,no,yes,0.39
1266,no,no,0.11
1267,no,yes,0.4
1268,no,no,0.19
1269,no,no,0.16
1270,no,no,0.1
1271,no,no,0.1
1272,no,no,0.17
1273,yes,no,0.5
1274,no,no,0.17
1275,no,no,0.17
1276,no,no,0.13
1277,no,no,0.16
1278,no,no,0.17
1279,no,no,0.12
1280,no,no,0.14
1281,no,no,0.19
1282,no,no,0.15
1283,no,no,0.2
1284,no,no,0.15
1285,no,no,0.2
1286,no,no,0.2
1287,no,no,0.17
1288,no,no,0.11
1289,no,no,0.17
1290,no,no,0.1
1291,no,no,0.18
1292,no,no,0.15
1293,no,no,0.13
1294,no,no,0.2
1295,no,no,0.15
1296,no,no,0.17
1297,no,no,0.16
1298,no,no,0.18
1299,no,no,0.17
1300,no,no,0.2
1301,no,no,0.1
1302,no,no,0.14
1303,no,no,0.17
1304,no,no,0.12
1305,no,no,0.13
1306,no,no,0.11
1307,no,no,0.16
1308,no,no,0.18
1309,no,no,0.14
1310,no,no,0.1
1311,no,no,0.2
1312,no,no,0.19
1313,no,no,0.2
1314,no,no,0.15
1315,no,no,0.2
1316,no,no,0.14
1317,no,no,0.16
1318,no,no,0.13
1319,no,no,0.14
1320,no,no,0.19
1321,no,no,0.15
1322,no,no,0.18
1323,no,no,0.1
1324,no,yes,0.34
1325,no,no,0.19
1326,no,no,0.1
1327,no,no,0.17
1328,no,no,0.18
1329,no,no,0.18
1330,no,no,0.19
1331,no,no,0.17
1332,no,no,0.12
1333,no,no,0.12
1334,no,no,0.1
1335,no,no,0.11
1336,no,no,0.18
1337,no,no,0.11
1338,no,no,0.16
1339,no,no,0.2
1340,yes,yes,0.74
1341,no,no,0.18
1342,no,no,0.14
