,loan,balance,y,bank_arg1
101,no,90,no,0.18
102,no,128,no,0.12
103,no,179,no,0.13
104,no,0,no,0.14
105,no,54,no,0.1
106,no,151,no,0.12
107,yes,61,no,0.39
108,no,30,no,0.11
109,no,523,no,0.1
110,no,31,no,0.2
111,no,79,no,0.13
112,yes,-34,no,0.38
113,no,448,no,0.2
114,no,81,no,0.19
115,no,144,no,0.18
116,no,351,no,0.16
117,no,-67,no,0.16
118,no,262,no,0.2
119,no,0,no,0.14
120,no,56,no,0.15
121,no,26,no,0.16
122,no,3,no,0.18
123,yes,41,no,0.37
124,yes,7,no,0.38
125,no,105,no,0.2
126,yes,818,no,0.34
127,yes,-16,no,0.31
128,no,0,no,0.18
129,no,2476,yes,0.55
130,no,1185,no,0.19
131,no,217,no,0.17
132,no,1685,no,0.1
133,yes,802,no,0.39
134,no,0,no,0.12
135,no,94,no,0.13
136,no,0,no,0.1
137,no,0,no,0.19
138,no,517,no,0.14
139,no,265,no,0.14
140,no,947,no,0.17
141,no,3,no,0.11
142,no,42,no,0.12
143,no,37,no,0.15
144,no,57,no,0.15
145,no,22,no,0.13
146,no,8,no,0.12
147,no,293,no,0.1
148,no,3,no,0.14
149,no,348,no,0.11
150,no,-19,no,0.11
151,no,0,no,0.17
152,no,-4,no,0.1
153,no,18,no,0.16
154,no,139,no,0.11
155,no,0,no,0.19
156,no,1883,no,0.2
157,no,216,no,0.16
158,no,782,no,0.16
159,no,904,no,0.19
160,no,1705,no,0.15
161,no,47,no,0.11
162,no,176,no,0.1
163,no,1225,no,0.1
164,no,86,no,0.1
165,no,82,no,0.1
166,no,271,no,0.2
167,no,1378,no,0.1
168,no,184,yes,0.6
169,no,0,no,0.14
170,no,0,no,0.17
171,yes,1357,no,0.3
172,no,19,no,0.18
173,no,434,no,0.2
174,no,92,no,0.13
175,no,1151,no,0.19
176,no,41,no,0.16
177,no,51,no,0.19
178,no,214,no,0.13
179,no,1161,no,0.2
180,no,37,no,0.17
181,no,787,no,0.18
182,no,59,no,0.13
183,no,253,no,0.1
184,no,211,no,0.1
185,no,235,no,0.19
186,no,4384,no,0.1
187,no,4080,no,0.17
188,yes,53,no,0.37
189,no,0,no,0.13
190,no,2127,no,0.11
191,no,377,no,0.1
192,no,73,no,0.16
193,no,445,no,0.13
194,no,243,no,0.2
195,no,307,no,0.11
196,no,155,no,0.1
197,yes,173,no,0.38
198,no,400,no,0.13
199,no,1428,no,0.18
200,no,219,no,0.16
201,no,7,no,0.19
202,no,575,no,0.16
203,no,298,no,0.16
204,no,0,no,0.17
205,no,5699,no,0.13
206,yes,176,no,0.4
207,no,517,no,0.19
208,no,257,no,0.17
209,no,56,no,0.12
210,no,-390,no,0.18
211,no,330,no,0.19
212,no,195,no,0.13
213,no,301,no,0.17
214,no,-41,no,0.11
215,no,483,no,0.17
216,no,28,no,0.1
217,no,13,no,0.11
218,no,965,no,0.18
219,yes,378,no,0.39
220,no,219,no,0.13
221,no,324,no,0.18
222,no,-69,no,0.16
223,yes,0,no,0.39
224,no,205,no,0.19
225,no,278,no,0.11
226,no,1065,no,0.1
227,no,34,no,0.16
228,no,1033,no,0.15
229,no,1467,no,0.17
230,no,-12,no,0.14
231,no,388,no,0.18
232,no,294,no,0.16
233,no,1827,no,0.13
234,no,627,no,0.13
235,no,25,no,0.19
236,no,315,no,0.14
237,no,0,no,0.19
238,no,66,no,0.19
239,yes,-9,no,0.32
240,yes,349,no,0.35
241,no,100,no,0.13
242,no,0,no,0.2
243,no,434,no,0.16
244,no,3237,no,0.11
245,no,275,no,0.18
246,no,0,no,0.19
247,no,207,no,0.19
248,no,483,no,0.2
249,no,2248,no,0.11
250,no,428,no,0.1
251,yes,0,no,0.38
252,no,0,no,0.14
253,no,140,no,0.17
254,no,297,no,0.16
255,no,279,no,0.11
256,no,901,no,0.1
257,no,2573,no,0.11
258,yes,143,no,0.37
259,no,475,no,0.16
260,no,70,no,0.2
261,no,318,no,0.11
262,no,275,no,0.17
263,no,742,no,0.13
264,no,236,no,0.19
265,no,25,no,0.2
266,no,600,no,0.12
267,no,-349,no,0.17
268,yes,183,no,0.31
269,no,0,no,0.13
270,yes,0,yes,0.72
271,no,0,no,0.15
272,no,1078,no,0.11
273,no,155,no,0.13
274,no,190,no,0.11
275,no,319,no,0.2
276,no,-185,no,0.11
277,no,47,no,0.11
278,no,570,no,0.18
279,no,19,no,0.15
280,no,61,no,0.1
281,yes,-62,no,0.31
282,no,258,no,0.13
283,no,76,no,0.11
284,no,0,no,0.17
285,no,352,no,0.16
286,no,368,no,0.1
287,no,339,no,0.2
288,no,1331,no,0.1
289,no,672,no,0.14
290,no,58,no,0.16
291,no,447,no,0.15
292,no,423,no,0.17
293,no,0,no,0.16
294,no,19,no,0.15
295,no,13,no,0.16
296,no,3,no,0.16
297,no,82,no,0.13
298,no,28,no,0.12
299,no,792,no,0.13
300,no,408,no,0.15
301,no,531,no,0.1
302,no,211,no,0.19
303,no,62,no,0.1
304,no,257,no,0.2
305,no,1234,no,0.17
306,no,313,no,0.19
307,no,89,no,0.17
308,yes,129,no,0.4
309,no,0,no,0.11
310,no,353,no,0.12
311,no,851,no,0.17
312,yes,96,no,0.32
313,yes,398,no,0.39
314,no,193,no,0.11
315,no,-358,no,0.19
316,yes,539,no,0.31
317,no,0,no,0.16
318,no,0,no,0.18
319,no,490,no,0.14
320,no,0,no,0.2
321,no,403,no,0.15
322,no,161,no,0.18
323,no,2558,no,0.19
324,no,98,no,0.12
325,no,115,no,0.15
326,no,436,no,0.14
327,no,831,no,0.11
328,no,206,no,0.1
329,no,290,no,0.12
330,no,1,no,0.12
331,no,57,no,0.19
332,no,-457,no,0.19
333,no,1387,no,0.2
334,no,24598,no,0.17
335,no,30,no,0.1
336,no,1022,no,0.1
337,yes,56,no,0.36
338,no,-2,no,0.2
339,no,121,no,0.14
340,no,842,no,0.17
341,no,693,no,0.18
342,no,-333,no,0.18
343,no,1533,no,0.14
344,no,46,no,0.12
345,no,18,no,0.15
346,no,44,no,0.14
347,no,-100,no,0.17
348,no,510,no,0.17
349,no,685,no,0.17
350,no,187,no,0.14
351,no,66,no,0.12
352,no,560,no,0.15
353,no,0,no,0.14
354,no,27,no,0.16
355,no,12,no,0.12
356,no,34,no,0.14
357,no,1068,no,0.14
358,no,211,no,0.14
359,no,377,no,0.18
360,no,263,no,0.14
361,no,1263,no,0.11
362,no,8,no,0.12
363,yes,126,no,0.31
364,no,230,no,0.1
365,no,841,no,0.14
366,no,308,no,0.19
367,no,1,no,0.11
368,no,86,no,0.11
369,no,157,no,0.15
370,no,22,no,0.19
371,yes,46,no,0.3
372,no,1293,no,0.19
373,no,122,no,0.19
374,no,131,no,0.13
375,no,143,no,0.12
376,no,393,no,0.18
377,no,98,no,0.18
378,no,0,no,0.17
379,no,224,no,0.19
380,no,757,no,0.12
381,yes,245,no,0.3
382,no,8486,no,0.1
383,no,350,no,0.13
384,no,20,no,0.18
385,yes,1667,no,0.36
386,no,345,no,0.13
387,no,10,no,0.12
388,yes,830,yes,0.8
389,no,29,no,0.14
390,no,545,yes,0.58
391,no,8730,no,0.19
392,no,477,no,0.13
393,no,4,no,0.15
394,no,1205,no,0.13
395,yes,0,no,0.38
396,no,263,no,0.2
397,no,1,no,0.12
398,yes,283,no,0.3
399,no,206,no,0.1
400,no,17,no,0.17
401,yes,141,no,0.31
402,no,16,no,0.15
403,no,206,no,0.17
404,no,7,no,0.1
405,no,0,no,0.15
406,no,0,no,0.19
407,no,1927,no,0.2
408,no,284,no,0.1
409,no,1660,no,0.13
410,no,406,no,0.14
411,no,230,no,0.18
412,no,-25,no,0.16
413,no,182,no,0.1
414,no,1169,no,0.1
415,no,67,no,0.17
416,no,77,no,0.18
417,no,0,no,0.11
418,yes,55,no,0.39
419,no,72,no,0.15
420,no,163,no,0.13
421,no,151,no,0.1
422,no,113,no,0.2
423,no,0,no,0.19
424,no,9,no,0.16
425,no,375,no,0.12
426,no,1142,no,0.18
427,no,2102,no,0.15
428,no,4325,no,0.12
429,no,217,no,0.1
430,no,131,no,0.19
431,no,1680,no,0.11
432,no,0,no,0.13
433,no,46,no,0.14
434,no,320,no,0.15
435,no,183,no,0.15
436,no,39,no,0.18
437,no,560,no,0.18
438,no,469,no,0.18
439,no,530,no,0.15
440,no,61,no,0.17
441,no,242,no,0.14
442,no,139,no,0.16
443,no,0,no,0.14
444,no,367,no,0.19
445,no,228,no,0.15
446,no,45248,yes,0.56
447,no,-84,no,0.16
448,no,310,no,0.16
449,no,132,no,0.18
450,no,797,no,0.2
451,no,71,no,0.2
452,no,2,no,0.16
453,yes,231,no,0.35
454,yes,270,no,0.3
455,yes,274,no,0.31
456,yes,-109,no,0.37
457,no,1,yes,0.5
458,no,-60,no,0.17
459,no,89,no,0.13
460,no,-11,no,0.15
461,no,0,no,0.15
462,no,-509,no,0.19
463,no,408,no,0.17
464,no,58,no,0.15
465,yes,1640,no,0.37
466,no,20,no,0.12
467,no,71,no,0.15
468,no,52,no,0.1
469,no,292,no,0.17
470,no,424,no,0.12
471,no,109,no,0.13
472,no,1044,no,0.16
473,no,983,no,0.15
474,no,869,yes,0.52
475,no,668,no,0.1
476,no,964,no,0.17
477,no,301,no,0.11
478,no,140,no,0.12
479,no,1877,no,0.18
480,no,1127,no,0.14
481,no,871,no,0.13
482,yes,767,no,0.4
483,no,0,no,0.16
484,no,209,no,0.18
485,no,0,no,0.13
486,yes,110,no,0.37
487,yes,-76,no,0.35
488,no,178,no,0.11
489,no,-66,no,0.13
490,no,0,no,0.2
491,no,1,no,0.15
492,no,0,no,0.1
493,no,5345,no,0.19
494,no,-209,no,0.14
495,no,0,no,0.15
496,no,42,no,0.17
497,no,41,no,0.16
498,no,-99,no,0.15
499,no,17,no,0.12
500,yes,276,no,0.34
501,no,-170,no,0.18
502,yes,230,no,0.39
503,no,9,no,0.19
504,no,946,no,0.2
505,no,1297,no,0.2
506,no,-331,no,0.14
507,no,44,no,0.13
508,no,15,no,0.15
509,no,712,no,0.19
510,no,5435,no,0.11
511,no,507,no,0.15
512,no,387,yes,0.59
513,yes,0,no,0.4
514,no,1716,no,0.16
515,yes,167,no,0.3
516,yes,40,no,0.38
517,no,148,no,0.11
518,yes,17,no,0.34
519,no,1011,no,0.17
520,no,1527,no,0.17
521,no,744,no,0.12
522,no,484,no,0.16
523,no,0,no,0.11
524,no,136,no,0.15
525,no,1335,no,0.16
526,no,517,no,0.11
527,no,459,no,0.1
528,no,549,no,0.19
529,yes,83,no,0.36
530,no,213,no,0.17
531,no,203,no,0.12
532,no,518,no,0.11
533,no,3877,no,0.18
534,no,1236,no,0.11
535,no,756,no,0.16
536,no,157,no,0.16
537,no,-66,no,0.18
538,no,245,no,0.12
539,no,-144,no,0.14
540,no,71,no,0.2
541,no,505,no,0.18
542,no,249,no,0.1
543,no,0,no,0.16
544,no,11,no,0.17
545,no,639,no,0.1
546,no,124,no,0.16
547,no,82,no,0.11
548,no,107,no,0.12
549,no,473,no,0.11
550,yes,372,no,0.4
551,no,46,no,0.16
552,no,34,no,0.16
553,no,935,no,0.1
554,no,-10,no,0.1
555,no,-106,no,0.13
556,no,471,no,0.13
557,no,778,no,0.12
558,no,170,no,0.16
559,no,315,no,0.11
560,no,3165,no,0.12
561,no,131,no,0.15
562,no,204,no,0.13
563,no,83,no,0.15
564,yes,0,no,0.36
565,yes,5431,no,0.39
566,no,1759,no,0.11
567,no,-125,no,0.11
568,no,0,no,0.13
569,no,5090,yes,0.5
570,no,573,no,0.12
571,no,1602,no,0.18
572,yes,-137,no,0.4
573,no,0,no,0.14
574,no,193,no,0.16
575,yes,195,no,0.36
576,no,288,no,0.18
577,no,19,no,0.13
578,no,25,no,0.19
579,no,216,no,0.12
580,yes,190,no,0.3
581,no,99,no,0.16
582,no,2298,no,0.19
583,no,17,no,0.12
584,no,0,no,0.12
585,no,0,no,0.11
586,no,840,no,0.18
587,no,358,no,0.13
588,no,0,no,0.13
589,yes,-325,no,0.32
590,no,-15,no,0.1
591,no,581,no,0.18
592,no,4070,no,0.2
593,yes,74,no,0.37
594,no,141,no,0.15
595,no,89,no,0.14
596,no,0,no,0.12
597,no,450,no,0.13
598,no,310,no,0.15
599,no,0,no,0.15
600,no,384,no,0.17
601,no,395,no,0.13
602,no,-118,no,0.11
603,yes,5,no,0.31
604,yes,50,no,0.37
605,yes,285,no,0.35
606,no,15,no,0.15
607,yes,653,no,0.36
608,no,918,no,0.16
609,yes,243,no,0.31
610,no,405,no,0.15
611,no,1328,no,0.11
612,no,255,no,0.12
613,no,3397,no,0.12
614,no,2106,no,0.17
615,no,2877,no,0.18
616,yes,60,no,0.39
617,no,2226,no,0.19
618,no,2880,no,0.2
619,no,-5,no,0.12
620,no,147,no,0.1
621,yes,7,no,0.35
622,no,109,no,0.14
623,no,-119,no,0.14
624,no,484,yes,0.51
625,no,1852,no,0.16
626,no,533,no,0.11
627,no,21,no,0.15
628,no,2434,no,0.19
629,yes,90,no,0.3
630,no,4246,no,0.17
631,no,395,no,0.17
632,no,15,no,0.18
633,no,85,no,0.2
634,yes,-184,no,0.35
635,no,660,no,0.12
636,no,-183,no,0.19
637,no,1144,no,0.18
638,no,1,no,0.11
639,yes,69,no,0.39
640,no,220,no,0.11
641,no,332,no,0.2
642,no,240,no,0.1
643,no,0,no,0.1
644,no,0,no,0.14
645,no,898,no,0.2
646,yes,123,no,0.33
647,no,252,no,0.17
648,no,65,no,0.14
649,yes,-366,no,0.38
650,no,209,no,0.18
651,no,221,no,0.2
652,no,4,no,0.16
653,no,104,no,0.12
654,no,312,no,0.15
655,no,-349,no,0.1
656,no,4,no,0.19
657,yes,-322,no,0.39
658,no,-150,no,0.16
659,no,1349,no,0.16
660,no,281,no,0.19
661,no,1259,no,0.2
662,no,101,no,0.12
663,no,848,no,0.1
664,no,89,no,0.2
665,no,140,no,0.19
666,no,148,no,0.2
667,no,200,no,0.17
668,no,46,no,0.12
669,no,201,no,0.13
670,no,530,no,0.16
671,no,0,no,0.16
672,no,1,no,0.16
673,no,43,no,0.1
674,no,-173,no,0.12
675,no,389,no,0.19
676,yes,215,no,0.37
677,no,-131,no,0.11
678,no,783,no,0.17
679,no,0,no,0.17
680,no,80,no,0.17
681,no,105,no,0.13
682,yes,182,no,0.32
683,no,82,no,0.2
684,no,0,no,0.18
685,no,510,no,0.11
686,no,242,no,0.16
687,yes,244,no,0.4
688,no,92,no,0.16
689,no,0,no,0.1
690,no,948,no,0.15
691,no,23,no,0.11
692,no,710,no,0.18
693,no,1205,no,0.12
694,yes,368,yes,0.75
695,no,1631,no,0.13
696,no,6,no,0.1
697,no,26,no,0.14
698,no,-48,no,0.18
699,no,2142,no,0.19
700,yes,77,no,0.4
701,no,401,no,0.19
702,no,21,no,0.14
703,no,0,no,0.1
704,no,-497,no,0.16
705,no,369,no,0.15
706,no,78,no,0.12
707,yes,226,no,0.33
708,no,503,no,0.14
709,no,372,no,0.16
710,yes,0,no,0.3
711,no,0,no,0.14
712,no,125,no,0.17
713,no,4,no,0.17
714,no,419,no,0.14
715,no,322,no,0.18
716,no,303,no,0.18
717,no,607,no,0.18
718,no,579,no,0.2
719,no,3047,no,0.11
720,no,83,no,0.18
721,no,68,no,0.11
722,no,58,no,0.18
723,no,251,no,0.13
724,no,688,no,0.13
725,no,364,no,0.17
726,no,55,no,0.17
727,no,101,no,0.19
728,no,105,no,0.13
729,no,325,no,0.12
730,no,198,no,0.2
731,no,209,no,0.2
732,no,183,no,0.17
733,no,105,no,0.18
734,no,109,no,0.18
735,yes,376,no,0.35
736,no,-7,no,0.1
737,no,0,no,0.1
738,no,143,no,0.15
739,no,550,no,0.11
740,no,162,no,0.12
741,no,115,no,0.12
742,no,512,no,0.2
743,no,807,no,0.2
744,no,248,no,0.12
745,no,1211,no,0.18
746,no,7,no,0.19
747,no,281,no,0.1
748,no,88,no,0.14
749,no,32,no,0.11
750,no,115,no,0.17
751,no,254,no,0.19
752,no,144,no,0.13
753,no,383,no,0.2
754,yes,569,no,0.38
755,no,0,no,0.14
756,no,3754,no,0.1
757,no,6920,no,0.2
758,yes,307,no,0.4
759,no,-421,no,0.11
760,no,60,no,0.19
761,no,67,no,0.2
762,no,402,no,0.17
763,no,800,no,0.12
764,yes,239,no,0.38
765,no,421,no,0.12
766,no,161,no,0.17
767,no,289,no,0.12
768,no,110,no,0.18
769,no,245,no,0.16
770,no,0,no,0.16
771,no,156,no,0.15
772,no,0,no,0.13
773,no,20,no,0.17
774,no,92,no,0.13
775,no,89,no,0.19
776,no,166,no,0.14
777,no,103,no,0.2
778,no,-454,no,0.18
779,no,445,no,0.18
780,no,4,no,0.19
781,no,1001,no,0.12
782,no,-69,no,0.18
783,no,42,no,0.15
784,no,1617,no,0.18
785,no,221,no,0.2
786,yes,210,no,0.37
787,no,0,no,0.14
788,no,185,no,0.16
789,no,836,no,0.18
790,no,301,no,0.2
791,no,503,no,0.15
792,no,407,no,0.16
793,no,53,no,0.14
794,no,2303,no,0.15
795,no,144,no,0.1
796,no,205,no,0.11
797,no,305,no,0.11
798,yes,251,no,0.4
799,no,0,no,0.15
800,no,8,no,0.11
801,no,139,no,0.12
802,no,184,no,0.12
803,no,238,no,0.2
804,no,0,no,0.11
805,no,0,no,0.18
806,no,222,no,0.19
807,no,414,no,0.18
808,no,223,no,0.1
809,no,197,no,0.12
810,no,-251,no,0.16
811,no,-139,no,0.12
812,no,733,no,0.11
813,no,0,no,0.12
814,no,1,no,0.2
815,no,97,no,0.2
816,no,435,no,0.18
817,no,0,no,0.2
818,no,147,no,0.11
819,no,3,no,0.11
820,yes,1109,no,0.34
821,no,404,no,0.2
822,no,981,no,0.15
823,no,95,no,0.17
824,no,302,no,0.12
825,yes,-290,no,0.33
826,no,259,no,0.17
827,yes,527,no,0.31
828,no,102,no,0.15
829,no,872,no,0.18
830,no,490,no,0.1
831,no,19,no,0.16
832,no,16,no,0.15
833,no,386,no,0.1
834,no,539,no,0.15
835,no,-329,no,0.1
836,no,-174,no,0.13
837,no,68,no,0.13
838,no,-532,no,0.17
839,no,0,no,0.15
840,no,64,no,0.18
841,no,1415,no,0.2
842,no,147,no,0.13
843,no,72,no,0.2
844,no,-196,no,0.15
845,no,716,no,0.17
846,no,0,no,0.13
847,no,-246,no,0.18
848,no,-203,no,0.18
849,yes,245,yes,0.7
850,no,342,no,0.2
851,no,3,no,0.18
852,yes,-248,no,0.31
853,no,376,no,0.15
854,no,370,no,0.12
855,no,594,no,0.18
856,no,387,no,0.15
857,no,208,no,0.14
858,no,563,no,0.2
859,yes,392,no,0.4
860,no,165,no,0.15
861,no,236,no,0.13
862,no,52,no,0.13
863,no,1265,no,0.15
864,no,693,no,0.14
865,no,118,no,0.12
866,no,3659,no,0.12
867,no,24,no,0.12
868,no,673,no,0.18
869,no,273,no,0.2
870,no,327,no,0.18
871,no,299,no,0.13
872,no,0,no,0.15
873,no,109,no,0.18
874,no,552,no,0.11
875,no,473,no,0.19
876,no,414,no,0.17
877,no,154,yes,0.5
878,no,344,no,0.15
879,no,8,no,0.2
880,no,78,no,0.19
881,no,266,no,0.17
882,yes,98,no,0.39
883,no,83,no,0.15
884,no,45,no,0.19
885,no,8,no,0.18
886,no,263,no,0.12
887,no,306,no,0.1
888,no,233,no,0.11
889,yes,447,no,0.39
890,no,872,no,0.11
891,yes,-291,yes,0.74
892,yes,309,no,0.3
893,no,202,no,0.14
894,yes,56,no,0.38
895,yes,229,no,0.35
896,no,143,no,0.12
897,no,100,yes,0.53
898,no,326,no,0.2
899,no,167,no,0.14
900,no,545,no,0.14
901,yes,2100,no,0.37
902,yes,0,no,0.4
903,no,192,no,0.15
904,no,442,no,0.18
905,no,267,no,0.14
906,no,0,no,0.11
907,no,377,no,0.16
908,no,7624,no,0.16
909,no,66,no,0.14
910,no,37,no,0.14
911,no,64,no,0.16
912,no,34,no,0.17
913,no,627,no,0.13
914,no,1013,no,0.1
915,no,140,no,0.17
916,no,8823,no,0.16
917,no,97,no,0.13
918,no,5,no,0.18
919,no,74,no,0.13
920,no,58544,no,0.15
921,no,169,no,0.11
922,no,444,no,0.16
923,no,542,no,0.15
924,no,-205,no,0.19
925,no,112,no,0.11
926,no,39,no,0.19
927,no,1268,no,0.14
928,no,-98,no,0.2
929,yes,44,no,0.34
930,yes,-90,no,0.37
931,no,0,no,0.15
932,yes,-94,no,0.33
933,no,-345,no,0.17
934,no,-932,no,0.18
935,no,20,no,0.13
936,no,90,no,0.19
937,no,31,no,0.12
938,yes,134,no,0.36
939,no,0,no,0.16
940,no,61,no,0.13
941,no,-5,no,0.14
942,no,-45,no,0.12
943,yes,156,no,0.36
944,no,564,no,0.17
945,no,-6,no,0.18
946,no,528,no,0.18
947,no,1481,no,0.13
948,no,2019,no,0.16
949,no,1855,no,0.2
950,yes,147,no,0.4
951,no,220,no,0.12
952,no,198,no,0.2
953,no,115,no,0.1
954,no,87,no,0.18
955,no,644,no,0.18
956,yes,225,no,0.35
957,no,502,no,0.15
958,no,-32,no,0.11
959,no,106,no,0.2
960,no,301,no,0.17
961,no,906,no,0.1
962,no,187,no,0.18
963,yes,852,no,0.34
964,no,143,no,0.17
965,no,71,no,0.14
966,no,1496,no,0.14
967,no,703,no,0.2
968,no,732,no,0.16
969,no,21,no,0.18
970,no,276,no,0.18
971,no,0,no,0.17
972,no,550,no,0.17
973,no,268,no,0.18
974,no,-825,no,0.2
975,yes,137,no,0.33
976,yes,42,no,0.39
977,no,54,no,0.19
978,no,1716,no,0.16
979,no,270,no,0.18
980,no,803,no,0.2
981,no,102,no,0.17
982,no,188,no,0.18
983,no,207,no,0.12
984,no,1466,no,0.1
985,no,350,no,0.15
986,no,159,no,0.12
987,yes,157,no,0.38
988,no,0,no,0.11
989,no,91,no,0.12
990,no,849,no,0.12
991,no,436,no,0.13
992,no,-1,no,0.12
993,no,297,no,0.14
994,yes,313,no,0.37
995,no,310,no,0.16
996,no,475,no,0.11
997,no,61,no,0.2
998,no,1377,no,0.17
999,no,56,no,0.13
1000,no,0,no,0.15
1001,no,73,no,0.11
1002,no,660,no,0.15
1003,no,-79,no,0.18
1004,no,558,no,0.2
1005,no,342,no,0.12
1006,no,-4,no,0.18
1007,no,225,no,0.1
1008,no,267,no,0.11
1009,no,46,no,0.1
1010,no,624,no,0.14
1011,yes,1107,no,0.33
1012,no,573,no,0.12
1013,no,406,no,0.15
1014,no,220,no,0.16
1015,no,2308,no,0.14
1016,no,139,no,0.16
1017,no,367,no,0.14
1018,no,278,no,0.1
1019,no,229,no,0.18
1020,no,1722,no,0.14
1021,no,-500,no,0.12
1022,no,308,no,0.13
1023,yes,1026,no,0.36
1024,no,548,no,0.1
1025,yes,356,no,0.31
1026,no,164,no,0.14
1027,no,211,no,0.15
1028,no,19,no,0.15
1029,yes,108,no,0.39
1030,no,308,no,0.1
1031,yes,7,no,0.37
1032,yes,16,no,0.36
1033,no,867,no,0.16
1034,no,277,no,0.16
1035,no,196,no,0.14
1036,yes,365,no,0.39
1037,no,1310,no,0.12
1038,no,186,no,0.13
1039,no,148,no,0.18
1040,yes,862,no,0.3
1041,no,359,no,0.13
1042,no,190,no,0.19
1043,yes,4,no,0.4
1044,no,0,no,0.18
1045,no,42,no,0.11
1046,no,2605,no,0.13
1047,yes,60,no,0.4
1048,no,98,no,0.2
1049,no,-181,no,0.15
1050,no,118,no,0.16
1051,no,-15,no,0.11
1052,no,671,no,0.15
1053,no,1557,no,0.13
1054,no,-20,no,0.11
1055,no,323,no,0.2
1056,no,-171,no,0.14
1057,no,438,no,0.17
1058,no,316,no,0.12
1059,no,174,no,0.17
1060,no,442,no,0.11
1061,no,786,no,0.17
1062,no,-317,no,0.17
1063,no,667,no,0.14
1064,no,-158,no,0.1
1065,no,72,no,0.19
1066,no,58,no,0.17
1067,yes,396,no,0.32
1068,no,10,no,0.1
1069,no,2887,no,0.2
1070,no,0,no,0.1
1071,no,89,no,0.17
1072,no,50,no,0.19
1073,no,29,no,0.12
1074,no,420,no,0.19
1075,no,114,no,0.19
1076,no,365,no,0.19
1077,no,0,no,0.17
1078,no,-24,no,0.12
1079,no,743,no,0.15
1080,no,0,no,0.15
1081,no,99,no,0.1
1082,yes,22,no,0.39
1083,no,251,no,0.19
1084,no,615,no,0.17
1085,no,136,no,0.1
1086,no,2167,no,0.19
1087,no,309,yes,0.55
1088,no,221,no,0.13
1089,no,321,no,0.18
1090,no,-33,no,0.1
1091,no,76,no,0.19
1092,no,42,no,0.1
1093,no,76,no,0.17
1094,no,1293,no,0.16
1095,no,526,no,0.12
1096,no,873,no,0.12
1097,no,40,no,0.14
1098,no,117,no,0.2
1099,no,671,no,0.1
1100,no,145,no,0.17
1101,no,1807,no,0.11
1102,yes,-212,no,0.32
1103,no,133,no,0.1
1104,no,566,no,0.15
1105,no,1924,no,0.11
1106,no,145,no,0.19
1107,no,487,no,0.12
1108,no,-57,no,0.13
1109,no,81,no,0.13
1110,no,-227,no,0.1
1111,yes,2710,no,0.31
1112,no,98,no,0.16
1113,yes,1230,no,0.35
1114,yes,78,no,0.39
1115,yes,137,no,0.34
1116,no,354,no,0.12
1117,no,149,no,0.19
1118,no,126,no,0.12
1119,no,0,no,0.13
