,bank_arg1,bank_arg2
240,0.35,0.29
241,0.13,0.11
242,0.2,0.11
243,0.16,0.11
244,0.11,0.19
245,0.18,0.16
246,0.19,0.18
247,0.19,0.16
248,0.2,0.12
249,0.11,0.18
250,0.1,0.18
251,0.38,0.3
252,0.14,0.2
253,0.17,0.13
254,0.16,0.17
255,0.11,0.2
256,0.1,0.16
257,0.11,0.1
258,0.37,0.29
259,0.16,0.2
260,0.2,0.18
261,0.11,0.17
262,0.17,0.2
263,0.13,0.14
264,0.19,0.16
265,0.2,0.2
266,0.12,0.19
267,0.17,0.2
268,0.31,0.25
269,0.13,0.17
270,0.72,0.5
271,0.15,0.2
272,0.11,0.11
273,0.13,0.17
274,0.11,0.17
275,0.2,0.14
276,0.11,0.2
277,0.11,0.1
278,0.18,0.13
279,0.15,0.13
280,0.1,0.13
281,0.31,0.22
282,0.13,0.15
283,0.11,0.18
284,0.17,0.1
285,0.16,0.11
286,0.1,0.12
287,0.2,0.12
288,0.1,0.14
289,0.14,0.14
290,0.16,0.18
291,0.15,0.16
292,0.17,0.14
293,0.16,0.19
294,0.15,0.11
295,0.16,0.12
296,0.16,0.1
297,0.13,0.14
298,0.12,0.15
299,0.13,0.14
300,0.15,0.18
301,0.1,0.17
302,0.19,0.19
303,0.1,0.15
304,0.2,0.11
305,0.17,0.19
306,0.19,0.13
307,0.17,0.12
308,0.4,0.3
309,0.11,0.18
310,0.12,0.15
311,0.17,0.15
312,0.32,0.29
313,0.39,0.25
314,0.11,0.15
315,0.19,0.15
316,0.31,0.22
317,0.16,0.1
318,0.18,0.17
319,0.14,0.15
320,0.2,0.16
321,0.15,0.14
322,0.18,0.18
323,0.19,0.13
324,0.12,0.17
325,0.15,0.1
326,0.14,0.12
327,0.11,0.19
328,0.1,0.11
329,0.12,0.16
330,0.12,0.15
331,0.19,0.11
332,0.19,0.1
333,0.2,0.17
334,0.17,0.12
335,0.1,0.19
336,0.1,0.1
337,0.36,0.28
338,0.2,0.16
339,0.14,0.1
340,0.17,0.17
341,0.18,0.16
342,0.18,0.12
343,0.14,0.17
344,0.12,0.2
345,0.15,0.15
346,0.14,0.15
347,0.17,0.16
348,0.17,0.17
349,0.17,0.16
350,0.14,0.19
351,0.12,0.15
352,0.15,0.2
353,0.14,0.11
354,0.16,0.16
355,0.12,0.12
356,0.14,0.2
357,0.14,0.1
358,0.14,0.14
359,0.18,0.13
360,0.14,0.11
361,0.11,0.19
362,0.12,0.19
363,0.31,0.21
364,0.1,0.1
365,0.14,0.15
366,0.19,0.17
367,0.11,0.18
368,0.11,0.19
369,0.15,0.1
370,0.19,0.16
371,0.3,0.22
372,0.19,0.14
373,0.19,0.18
374,0.13,0.13
375,0.12,0.16
376,0.18,0.15
377,0.18,0.19
378,0.17,0.11
379,0.19,0.18
380,0.12,0.11
381,0.3,0.27
382,0.1,0.18
383,0.13,0.13
384,0.18,0.19
385,0.36,0.3
386,0.13,0.18
387,0.12,0.12
388,0.8,0.5
389,0.14,0.16
390,0.58,0.39
391,0.19,0.1
392,0.13,0.15
393,0.15,0.13
394,0.13,0.19
395,0.38,0.29
396,0.2,0.13
397,0.12,0.18
398,0.3,0.3
399,0.1,0.16
400,0.17,0.15
401,0.31,0.24
402,0.15,0.2
403,0.17,0.12
404,0.1,0.2
405,0.15,0.13
406,0.19,0.12
407,0.2,0.12
408,0.1,0.11
409,0.13,0.15
410,0.14,0.17
411,0.18,0.1
412,0.16,0.11
413,0.1,0.19
414,0.1,0.15
415,0.17,0.18
416,0.18,0.12
417,0.11,0.13
418,0.39,0.3
419,0.15,0.16
420,0.13,0.2
421,0.1,0.17
422,0.2,0.19
423,0.19,0.12
424,0.16,0.1
425,0.12,0.14
426,0.18,0.15
427,0.15,0.1
428,0.12,0.15
429,0.1,0.2
430,0.19,0.2
431,0.11,0.17
432,0.13,0.1
433,0.14,0.19
434,0.15,0.2
435,0.15,0.2
436,0.18,0.19
437,0.18,0.1
438,0.18,0.19
439,0.15,0.19
440,0.17,0.17
441,0.14,0.2
442,0.16,0.11
443,0.14,0.12
444,0.19,0.1
445,0.15,0.1
446,0.56,0.38
447,0.16,0.14
448,0.16,0.13
449,0.18,0.15
450,0.2,0.11
451,0.2,0.2
452,0.16,0.16
453,0.35,0.24
454,0.3,0.25
455,0.31,0.2
456,0.37,0.28
457,0.5,0.37
458,0.17,0.11
459,0.13,0.17
460,0.15,0.18
461,0.15,0.2
462,0.19,0.1
463,0.17,0.14
464,0.15,0.12
465,0.37,0.2
466,0.12,0.15
467,0.15,0.18
468,0.1,0.13
469,0.17,0.19
470,0.12,0.11
471,0.13,0.18
472,0.16,0.14
473,0.15,0.11
474,0.52,0.31
475,0.1,0.19
476,0.17,0.18
477,0.11,0.15
478,0.12,0.19
479,0.18,0.19
480,0.14,0.2
481,0.13,0.18
482,0.4,0.25
483,0.16,0.14
484,0.18,0.16
485,0.13,0.17
486,0.37,0.23
487,0.35,0.29
488,0.11,0.18
489,0.13,0.12
490,0.2,0.15
491,0.15,0.14
492,0.1,0.12
493,0.19,0.19
494,0.14,0.18
495,0.15,0.2
496,0.17,0.12
497,0.16,0.15
498,0.15,0.17
499,0.12,0.12
500,0.34,0.21
501,0.18,0.1
502,0.39,0.3
503,0.19,0.19
504,0.2,0.14
505,0.2,0.13
506,0.14,0.1
507,0.13,0.19
508,0.15,0.11
509,0.19,0.11
510,0.11,0.1
511,0.15,0.19
512,0.59,0.31
513,0.4,0.22
514,0.16,0.12
515,0.3,0.27
516,0.38,0.29
517,0.11,0.19
518,0.34,0.27
519,0.17,0.12
520,0.17,0.19
521,0.12,0.11
522,0.16,0.14
523,0.11,0.16
524,0.15,0.2
525,0.16,0.2
526,0.11,0.11
527,0.1,0.12
528,0.19,0.11
529,0.36,0.22
530,0.17,0.19
531,0.12,0.13
532,0.11,0.11
533,0.18,0.18
534,0.11,0.16
535,0.16,0.2
536,0.16,0.11
537,0.18,0.11
538,0.12,0.12
539,0.14,0.16
540,0.2,0.1
541,0.18,0.12
542,0.1,0.13
543,0.16,0.16
544,0.17,0.13
545,0.1,0.1
546,0.16,0.1
547,0.11,0.12
548,0.12,0.13
549,0.11,0.1
550,0.4,0.26
551,0.16,0.18
552,0.16,0.12
553,0.1,0.2
554,0.1,0.18
555,0.13,0.14
556,0.13,0.15
557,0.12,0.16
558,0.16,0.17
559,0.11,0.16
560,0.12,0.17
561,0.15,0.12
562,0.13,0.15
563,0.15,0.15
564,0.36,0.25
565,0.39,0.25
566,0.11,0.13
567,0.11,0.15
568,0.13,0.11
569,0.5,0.32
570,0.12,0.19
571,0.18,0.15
572,0.4,0.29
573,0.14,0.19
574,0.16,0.18
575,0.36,0.29
576,0.18,0.13
577,0.13,0.16
578,0.19,0.1
579,0.12,0.19
580,0.3,0.27
581,0.16,0.13
582,0.19,0.18
583,0.12,0.12
584,0.12,0.16
585,0.11,0.12
586,0.18,0.14
587,0.13,0.2
588,0.13,0.2
589,0.32,0.2
590,0.1,0.17
591,0.18,0.18
592,0.2,0.12
593,0.37,0.29
594,0.15,0.15
595,0.14,0.11
596,0.12,0.15
597,0.13,0.18
598,0.15,0.15
599,0.15,0.15
600,0.17,0.13
601,0.13,0.11
602,0.11,0.1
603,0.31,0.22
604,0.37,0.21
605,0.35,0.26
606,0.15,0.18
607,0.36,0.23
608,0.16,0.1
609,0.31,0.2
610,0.15,0.1
611,0.11,0.2
612,0.12,0.13
613,0.12,0.14
614,0.17,0.16
615,0.18,0.16
616,0.39,0.26
617,0.19,0.17
618,0.2,0.11
619,0.12,0.12
620,0.1,0.16
621,0.35,0.23
622,0.14,0.14
623,0.14,0.11
624,0.51,0.33
625,0.16,0.2
626,0.11,0.12
627,0.15,0.2
628,0.19,0.19
629,0.3,0.26
630,0.17,0.11
631,0.17,0.14
632,0.18,0.15
633,0.2,0.15
634,0.35,0.21
635,0.12,0.16
636,0.19,0.16
637,0.18,0.1
638,0.11,0.15
639,0.39,0.2
640,0.11,0.2
641,0.2,0.16
642,0.1,0.12
643,0.1,0.18
644,0.14,0.2
645,0.2,0.17
646,0.33,0.22
647,0.17,0.19
648,0.14,0.13
649,0.38,0.28
650,0.18,0.13
651,0.2,0.1
652,0.16,0.15
653,0.12,0.12
654,0.15,0.1
655,0.1,0.15
656,0.19,0.1
657,0.39,0.3
658,0.16,0.12
659,0.16,0.15
660,0.19,0.18
661,0.2,0.1
662,0.12,0.18
663,0.1,0.11
664,0.2,0.14
665,0.19,0.2
666,0.2,0.15
667,0.17,0.15
668,0.12,0.1
669,0.13,0.18
670,0.16,0.15
671,0.16,0.16
672,0.16,0.15
673,0.1,0.16
674,0.12,0.11
675,0.19,0.13
676,0.37,0.26
677,0.11,0.12
678,0.17,0.17
679,0.17,0.12
680,0.17,0.17
681,0.13,0.18
682,0.32,0.3
683,0.2,0.18
684,0.18,0.2
685,0.11,0.18
686,0.16,0.17
687,0.4,0.21
688,0.16,0.17
689,0.1,0.1
690,0.15,0.18
691,0.11,0.13
692,0.18,0.14
693,0.12,0.13
694,0.75,0.44
695,0.13,0.11
696,0.1,0.11
697,0.14,0.18
698,0.18,0.19
699,0.19,0.12
700,0.4,0.21
701,0.19,0.15
702,0.14,0.11
703,0.1,0.13
704,0.16,0.17
705,0.15,0.15
706,0.12,0.11
707,0.33,0.21
708,0.14,0.15
709,0.16,0.13
710,0.3,0.25
711,0.14,0.14
712,0.17,0.19
713,0.17,0.19
714,0.14,0.17
715,0.18,0.1
716,0.18,0.16
717,0.18,0.19
718,0.2,0.1
719,0.11,0.19
720,0.18,0.15
721,0.11,0.12
722,0.18,0.11
723,0.13,0.2
724,0.13,0.15
725,0.17,0.2
726,0.17,0.18
727,0.19,0.2
728,0.13,0.2
729,0.12,0.18
730,0.2,0.1
731,0.2,0.13
732,0.17,0.18
733,0.18,0.16
734,0.18,0.11
735,0.35,0.22
736,0.1,0.2
737,0.1,0.18
738,0.15,0.15
739,0.11,0.1
740,0.12,0.2
741,0.12,0.18
742,0.2,0.17
743,0.2,0.2
744,0.12,0.14
745,0.18,0.14
746,0.19,0.15
747,0.1,0.13
748,0.14,0.1
749,0.11,0.17
750,0.17,0.18
751,0.19,0.11
752,0.13,0.19
753,0.2,0.14
754,0.38,0.25
755,0.14,0.13
756,0.1,0.11
757,0.2,0.16
758,0.4,0.27
759,0.11,0.15
760,0.19,0.2
761,0.2,0.18
762,0.17,0.1
763,0.12,0.11
764,0.38,0.25
765,0.12,0.2
766,0.17,0.16
767,0.12,0.11
768,0.18,0.17
769,0.16,0.15
770,0.16,0.11
771,0.15,0.18
772,0.13,0.13
773,0.17,0.19
774,0.13,0.14
775,0.19,0.1
776,0.14,0.12
777,0.2,0.13
778,0.18,0.18
779,0.18,0.17
780,0.19,0.12
781,0.12,0.1
782,0.18,0.1
783,0.15,0.2
784,0.18,0.12
785,0.2,0.17
786,0.37,0.27
787,0.14,0.14
788,0.16,0.15
789,0.18,0.13
790,0.2,0.2
791,0.15,0.19
792,0.16,0.13
793,0.14,0.1
794,0.15,0.19
795,0.1,0.11
796,0.11,0.17
797,0.11,0.13
798,0.4,0.29
799,0.15,0.16
800,0.11,0.19
801,0.12,0.15
802,0.12,0.11
803,0.2,0.14
804,0.11,0.13
805,0.18,0.18
806,0.19,0.16
807,0.18,0.11
808,0.1,0.18
809,0.12,0.17
810,0.16,0.11
811,0.12,0.16
812,0.11,0.19
813,0.12,0.15
814,0.2,0.12
815,0.2,0.1
816,0.18,0.13
817,0.2,0.18
818,0.11,0.14
819,0.11,0.14
820,0.34,0.3
821,0.2,0.1
822,0.15,0.16
823,0.17,0.19
824,0.12,0.17
825,0.33,0.24
826,0.17,0.1
827,0.31,0.21
828,0.15,0.2
829,0.18,0.17
830,0.1,0.16
831,0.16,0.12
832,0.15,0.12
833,0.1,0.17
834,0.15,0.12
835,0.1,0.2
836,0.13,0.16
837,0.13,0.12
838,0.17,0.14
839,0.15,0.17
840,0.18,0.13
841,0.2,0.14
842,0.13,0.1
843,0.2,0.16
844,0.15,0.14
845,0.17,0.19
846,0.13,0.18
847,0.18,0.17
848,0.18,0.18
849,0.7,0.5
850,0.2,0.18
851,0.18,0.13
852,0.31,0.26
853,0.15,0.17
854,0.12,0.15
855,0.18,0.12
856,0.15,0.15
857,0.14,0.2
858,0.2,0.14
859,0.4,0.22
860,0.15,0.18
861,0.13,0.2
862,0.13,0.2
863,0.15,0.11
864,0.14,0.17
865,0.12,0.16
866,0.12,0.2
867,0.12,0.1
868,0.18,0.18
869,0.2,0.17
870,0.18,0.16
871,0.13,0.11
872,0.15,0.13
873,0.18,0.17
874,0.11,0.16
875,0.19,0.2
876,0.17,0.17
877,0.5,0.32
878,0.15,0.1
879,0.2,0.14
880,0.19,0.13
881,0.17,0.11
882,0.39,0.26
883,0.15,0.13
884,0.19,0.17
885,0.18,0.14
886,0.12,0.14
887,0.1,0.19
888,0.11,0.1
889,0.39,0.23
890,0.11,0.19
891,0.74,0.48
892,0.3,0.21
893,0.14,0.2
894,0.38,0.21
895,0.35,0.2
896,0.12,0.17
897,0.53,0.39
898,0.2,0.16
899,0.14,0.2
900,0.14,0.11
901,0.37,0.23
902,0.4,0.22
903,0.15,0.18
904,0.18,0.17
905,0.14,0.18
906,0.11,0.13
907,0.16,0.1
908,0.16,0.17
909,0.14,0.2
910,0.14,0.16
911,0.16,0.2
912,0.17,0.16
913,0.13,0.11
914,0.1,0.12
915,0.17,0.12
916,0.16,0.14
917,0.13,0.13
918,0.18,0.17
919,0.13,0.19
920,0.15,0.18
921,0.11,0.1
922,0.16,0.13
923,0.15,0.1
924,0.19,0.1
925,0.11,0.15
926,0.19,0.19
927,0.14,0.1
928,0.2,0.18
929,0.34,0.2
930,0.37,0.2
931,0.15,0.1
932,0.33,0.24
933,0.17,0.2
934,0.18,0.12
935,0.13,0.13
936,0.19,0.18
937,0.12,0.15
938,0.36,0.27
939,0.16,0.12
940,0.13,0.2
941,0.14,0.17
942,0.12,0.1
943,0.36,0.24
944,0.17,0.19
945,0.18,0.2
946,0.18,0.2
947,0.13,0.1
948,0.16,0.17
949,0.2,0.17
950,0.4,0.24
951,0.12,0.15
952,0.2,0.13
953,0.1,0.12
954,0.18,0.2
955,0.18,0.2
956,0.35,0.3
957,0.15,0.19
958,0.11,0.16
959,0.2,0.15
960,0.17,0.2
961,0.1,0.14
962,0.18,0.13
963,0.34,0.22
964,0.17,0.16
965,0.14,0.18
966,0.14,0.19
967,0.2,0.2
968,0.16,0.14
969,0.18,0.2
970,0.18,0.17
971,0.17,0.2
972,0.17,0.17
973,0.18,0.18
974,0.2,0.17
975,0.33,0.23
976,0.39,0.21
977,0.19,0.13
978,0.16,0.15
979,0.18,0.11
980,0.2,0.11
981,0.17,0.18
982,0.18,0.19
983,0.12,0.11
984,0.1,0.18
985,0.15,0.11
986,0.12,0.18
987,0.38,0.27
988,0.11,0.2
989,0.12,0.11
990,0.12,0.14
991,0.13,0.19
992,0.12,0.15
993,0.14,0.15
994,0.37,0.21
995,0.16,0.2
996,0.11,0.15
997,0.2,0.11
998,0.17,0.11
999,0.13,0.15
1000,0.15,0.18
1001,0.11,0.2
1002,0.15,0.16
1003,0.18,0.1
1004,0.2,0.18
1005,0.12,0.11
1006,0.18,0.2
1007,0.1,0.16
1008,0.11,0.2
1009,0.1,0.18
1010,0.14,0.12
1011,0.33,0.26
1012,0.12,0.11
1013,0.15,0.12
1014,0.16,0.19
1015,0.14,0.12
1016,0.16,0.1
1017,0.14,0.15
1018,0.1,0.14
1019,0.18,0.19
1020,0.14,0.18
1021,0.12,0.12
1022,0.13,0.11
1023,0.36,0.23
1024,0.1,0.14
1025,0.31,0.22
1026,0.14,0.2
1027,0.15,0.19
1028,0.15,0.15
1029,0.39,0.29
1030,0.1,0.14
1031,0.37,0.25
1032,0.36,0.27
1033,0.16,0.1
1034,0.16,0.19
1035,0.14,0.11
1036,0.39,0.2
1037,0.12,0.15
1038,0.13,0.11
1039,0.18,0.16
1040,0.3,0.2
1041,0.13,0.14
1042,0.19,0.12
1043,0.4,0.3
1044,0.18,0.14
1045,0.11,0.18
1046,0.13,0.13
1047,0.4,0.24
1048,0.2,0.17
1049,0.15,0.15
1050,0.16,0.14
1051,0.11,0.16
1052,0.15,0.2
1053,0.13,0.17
1054,0.11,0.13
1055,0.2,0.11
1056,0.14,0.16
1057,0.17,0.12
1058,0.12,0.14
1059,0.17,0.12
1060,0.11,0.1
1061,0.17,0.15
1062,0.17,0.2
1063,0.14,0.19
1064,0.1,0.11
1065,0.19,0.16
1066,0.17,0.2
1067,0.32,0.3
1068,0.1,0.15
1069,0.2,0.18
1070,0.1,0.11
1071,0.17,0.17
1072,0.19,0.19
1073,0.12,0.11
1074,0.19,0.1
1075,0.19,0.17
1076,0.19,0.15
1077,0.17,0.15
1078,0.12,0.17
1079,0.15,0.15
1080,0.15,0.13
1081,0.1,0.11
1082,0.39,0.21
1083,0.19,0.19
1084,0.17,0.14
1085,0.1,0.13
1086,0.19,0.19
1087,0.55,0.36
1088,0.13,0.16
1089,0.18,0.18
1090,0.1,0.17
1091,0.19,0.11
1092,0.1,0.16
1093,0.17,0.1
1094,0.16,0.18
1095,0.12,0.13
1096,0.12,0.19
1097,0.14,0.15
1098,0.2,0.1
1099,0.1,0.19
1100,0.17,0.11
1101,0.11,0.13
1102,0.32,0.26
1103,0.1,0.18
1104,0.15,0.18
1105,0.11,0.16
1106,0.19,0.19
1107,0.12,0.12
1108,0.13,0.14
1109,0.13,0.15
1110,0.1,0.11
1111,0.31,0.3
1112,0.16,0.12
1113,0.35,0.29
1114,0.39,0.24
1115,0.34,0.21
1116,0.12,0.13
1117,0.19,0.11
1118,0.12,0.17
1119,0.13,0.19
1120,0.18,0.19
1121,0.2,0.14
1122,0.13,0.16
1123,0.19,0.15
1124,0.7,0.45
1125,0.18,0.17
1126,0.14,0.15
1127,0.15,0.11
1128,0.19,0.15
1129,0.1,0.12
1130,0.18,0.15
1131,0.19,0.18
1132,0.2,0.17
1133,0.3,0.3
1134,0.12,0.13
1135,0.13,0.1
1136,0.1,0.16
1137,0.16,0.12
1138,0.19,0.14
1139,0.18,0.16
1140,0.57,0.33
1141,0.13,0.13
1142,0.14,0.16
1143,0.31,0.25
1144,0.19,0.11
1145,0.17,0.1
1146,0.17,0.15
1147,0.19,0.15
1148,0.11,0.12
1149,0.1,0.17
1150,0.17,0.14
1151,0.1,0.2
1152,0.18,0.11
1153,0.32,0.23
1154,0.15,0.12
1155,0.12,0.11
1156,0.11,0.19
1157,0.11,0.13
1158,0.13,0.16
1159,0.17,0.13
1160,0.16,0.16
1161,0.16,0.19
1162,0.17,0.14
1163,0.36,0.25
1164,0.15,0.14
1165,0.17,0.16
1166,0.11,0.1
1167,0.13,0.14
1168,0.12,0.12
1169,0.18,0.16
1170,0.13,0.11
1171,0.11,0.18
1172,0.56,0.31
1173,0.55,0.4
1174,0.15,0.2
1175,0.1,0.19
1176,0.35,0.21
1177,0.13,0.16
1178,0.1,0.15
1179,0.19,0.2
1180,0.12,0.16
1181,0.15,0.1
1182,0.39,0.25
1183,0.12,0.15
1184,0.2,0.14
1185,0.14,0.16
1186,0.34,0.23
1187,0.15,0.18
1188,0.11,0.19
1189,0.16,0.13
1190,0.19,0.19
1191,0.1,0.19
1192,0.14,0.15
1193,0.6,0.33
1194,0.34,0.25
1195,0.18,0.18
1196,0.1,0.15
1197,0.38,0.29
1198,0.2,0.13
1199,0.12,0.2
1200,0.56,0.34
1201,0.14,0.17
1202,0.15,0.2
1203,0.31,0.26
1204,0.19,0.12
1205,0.1,0.14
1206,0.19,0.12
1207,0.13,0.16
1208,0.17,0.15
1209,0.15,0.15
1210,0.17,0.16
1211,0.15,0.13
1212,0.15,0.2
1213,0.32,0.24
1214,0.34,0.28
1215,0.11,0.16
1216,0.16,0.2
1217,0.33,0.21
1218,0.1,0.15
1219,0.1,0.1
1220,0.18,0.12
1221,0.17,0.15
1222,0.11,0.16
1223,0.2,0.12
1224,0.11,0.19
1225,0.17,0.13
1226,0.38,0.22
1227,0.13,0.19
1228,0.13,0.13
1229,0.1,0.17
1230,0.19,0.13
1231,0.17,0.2
1232,0.18,0.13
1233,0.14,0.2
1234,0.2,0.1
1235,0.18,0.1
1236,0.13,0.1
1237,0.19,0.16
1238,0.18,0.16
1239,0.17,0.11
1240,0.14,0.17
1241,0.14,0.17
1242,0.3,0.28
1243,0.14,0.19
1244,0.2,0.19
1245,0.13,0.19
1246,0.19,0.15
1247,0.51,0.37
1248,0.13,0.1
1249,0.11,0.2
1250,0.19,0.19
1251,0.16,0.12
1252,0.13,0.15
1253,0.14,0.19
1254,0.1,0.17
1255,0.18,0.1
1256,0.11,0.15
1257,0.17,0.12
1258,0.19,0.19
1259,0.12,0.14
1260,0.15,0.1
1261,0.11,0.19
1262,0.2,0.15
1263,0.13,0.12
1264,0.17,0.16
1265,0.39,0.24
1266,0.11,0.1
1267,0.4,0.28
1268,0.19,0.1
1269,0.16,0.17
1270,0.1,0.15
1271,0.1,0.15
1272,0.17,0.13
1273,0.5,0.38
1274,0.17,0.14
1275,0.17,0.17
1276,0.13,0.17
1277,0.16,0.11
1278,0.17,0.15
1279,0.12,0.18
1280,0.14,0.12
1281,0.19,0.15
1282,0.15,0.17
1283,0.2,0.14
1284,0.15,0.15
1285,0.2,0.13
1286,0.2,0.13
1287,0.17,0.16
1288,0.11,0.19
1289,0.17,0.19
1290,0.1,0.17
1291,0.18,0.17
1292,0.15,0.15
1293,0.13,0.16
1294,0.2,0.19
1295,0.15,0.13
1296,0.17,0.17
1297,0.16,0.1
1298,0.18,0.16
1299,0.17,0.17
1300,0.2,0.18
1301,0.1,0.12
1302,0.14,0.12
1303,0.17,0.17
1304,0.12,0.2
1305,0.13,0.12
1306,0.11,0.2
1307,0.16,0.17
1308,0.18,0.18
1309,0.14,0.15
1310,0.1,0.12
1311,0.2,0.17
1312,0.19,0.19
1313,0.2,0.17
1314,0.15,0.18
1315,0.2,0.17
1316,0.14,0.16
1317,0.16,0.14
1318,0.13,0.1
1319,0.14,0.1
1320,0.19,0.19
1321,0.15,0.1
1322,0.18,0.18
1323,0.1,0.14
1324,0.34,0.2
1325,0.19,0.15
1326,0.1,0.19
1327,0.17,0.17
1328,0.18,0.1
1329,0.18,0.18
1330,0.19,0.12
1331,0.17,0.18
1332,0.12,0.15
1333,0.12,0.12
1334,0.1,0.1
1335,0.11,0.11
1336,0.18,0.11
1337,0.11,0.12
1338,0.16,0.16
1339,0.2,0.11
1340,0.74,0.42
1341,0.18,0.17
1342,0.14,0.14
1343,0.18,0.13
1344,0.18,0.1
1345,0.38,0.22
1346,0.2,0.11
1347,0.34,0.21
1348,0.11,0.19
1349,0.13,0.17
1350,0.4,0.3
1351,0.16,0.16
1352,0.12,0.1
1353,0.36,0.26
1354,0.35,0.25
1355,0.39,0.26
1356,0.2,0.14
1357,0.16,0.1
1358,0.18,0.18
1359,0.14,0.13
